name,genre,score,director,star,budget_x,gross_x,director_name,actor_2_name,gross_y,genres,actor_1_name,movie_title,budget_y,imdb_score,Director,Actors,Total_Gross,main_genre,budget,id,imdb_id,original_language,original_title,revenue
Annabelle,Horror,5.4,John R. Leonetti,Ward Horton,6500000.0,257579282.0,John R. Leonetti,Annabelle Wallis,84263837.0,Horror|Mystery,Alfre Woodard,Annabelle,6500000.0,5.4,,,,,,,,,,
Boyhood,Drama,7.9,Richard Linklater,Ellar Coltrane,4000000.0,48137666.0,Richard Linklater,Lorelei Linklater,25359200.0,Drama,Ellar Coltrane,Boyhood,4000000.0,8.0,,,,,,,,,,
The Theory of Everything,Biography,7.7,James Marsh,Eddie Redmayne,15000000.0,123726688.0,James Marsh,Emily Watson,35887263.0,Biography|Drama|Romance,Eddie Redmayne,The Theory of Everything,15000000.0,7.7,,,,,,,,,,
The Expendables 3,Action,6.1,Patrick Hughes,Sylvester Stallone,80000000.0,214657577.0,Patrick Hughes,Sylvester Stallone,39292022.0,Action|Adventure|Thriller,Jason Statham,The Expendables 3,90000000.0,6.1,,,,,,,,,,
The Interview,Action,6.5,Evan Goldberg,James Franco,44000000.0,11782625.0,Evan Goldberg,Randall Park,6105175.0,Comedy,James Franco,The Interview,44000000.0,6.6,,,,,,,,,,
Transformers: Age of Extinction,Action,5.6,Michael Bay,Mark Wahlberg,210000000.0,1104054072.0,Michael Bay,Sophia Myles,245428137.0,Action|Adventure|Sci-Fi,Bingbing Li,Transformers: Age of Extinction,210000000.0,5.7,,,,,,,,,,
Inherent Vice,Comedy,6.7,Paul Thomas Anderson,Joaquin Phoenix,20000000.0,14710975.0,Paul Thomas Anderson,Katherine Waterston,8093318.0,Comedy|Crime|Drama|Mystery|Romance,Martin Dew,Inherent Vice,20000000.0,6.7,,,,,,,,,,
Sex Tape,Comedy,5.1,Jake Kasdan,Jason Segel,40000000.0,126069509.0,Jake Kasdan,Randall Park,38543473.0,Comedy,James Wilcox,Sex Tape,40000000.0,5.1,,,,,,,,,,
The Other Woman,Comedy,6.0,Nick Cassavetes,Cameron Diaz,40000000.0,196710396.0,Nick Cassavetes,Kate Upton,83906114.0,Comedy|Romance,Don Johnson,The Other Woman,40000000.0,6.0,,,,,,,,,,
Wild,Adventure,7.1,Jean-Marc Vallée,Reese Witherspoon,15000000.0,52501541.0,Jean-Marc Vallée,Kevin Rankin,37877959.0,Adventure|Biography|Drama,Michiel Huisman,Wild,15000000.0,7.1,,,,,,,,,,
22 Jump Street,Action,7.0,Phil Lord,Channing Tatum,50000000.0,331333876.0,Phil Lord,Craig Roberts,191616238.0,Action|Comedy|Crime,Channing Tatum,22 Jump Street,50000000.0,7.1,,,,,,,,,,
Dawn of the Planet of the Apes,Action,7.6,Matt Reeves,Gary Oldman,170000000.0,710644566.0,Matt Reeves,Judy Greer,208543795.0,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Dawn of the Planet of the Apes,170000000.0,7.6,,,,,,,,,,
