Feature,Score
director_Bryan Bertino,0.012354944061422596
director_Bryan Buckley,0.30015649280984175
director_Bryan Singer,20.834841576568152
director_Bryan Spicer,0.40329267526574386
director_Bud S. Smith,0.209256981536952
director_Bud Yorkin,0.2563294439988849
director_Buddy Van Horn,0.3393861280900503
director_Burr Steers,0.29975712188091325
director_Burt Reynolds,0.25585878682042473
director_Byron Howard,18.18693056621106
director_C. Jay Cox,0.29870023923350003
director_Cal Brunker,0.02281359931446048
director_Callie Khouri,0.16080092042886468
director_Cameron Crowe,0.05088455458326156
director_Camille Delamarre,0.02884837133850693
director_Campbell Scott,0.2372046171347428
director_Carl Franklin,0.4488205448504808
director_Carl Reiner,0.41397693304425287
director_Carl Rinsch,0.06720019989962124
director_Carl Schenkel,0.29835955332557
director_Carlo Carlei,0.2807529588711188
director_Carlos Saldanha,30.784418247602552
director_Carroll Ballard,0.44056993613217355
director_Carter Smith,0.18431548331645164
director_Cary Joji Fukunaga,0.3032361141626553
director_Casey La Scala,0.2742646810197205
director_Catherine Hardwicke,0.0026290947804911455
director_Cathy Malkasian,0.05157118714575948
director_Cathy Yan,0.2772947316654773
director_Cedric Nicolas-Troyan,0.10872531717626487
director_Chad Stahelski,0.7200719717786204
director_Charles Band,0.30375680122633614
director_Charles Burnett,0.3036161122052069
director_Charles Crichton,0.047301088384637854
director_Charles E. Sellier Jr.,0.2892832773519981
director_Charles Grosvenor,0.266265763601941
director_Charles Herman-Wurmfeld,0.07293851250185161
director_Charles Jarrott,0.2424780411453287
director_Charles Martin Smith,0.11478869632534972
director_Charles Shyer,0.7397876937118624
director_Charles Stone III,0.1489121561700148
director_Charles T. Kanganis,0.2382955654662693
director_Charlie Bean,0.011233548402500142
director_Charlie Kaufman,0.27697117610666855
director_Charlie McDowell,0.3002669787011284
director_Chia-Liang Liu,0.2395661798820938
director_Chris Addison,0.0019225380647716387
director_Chris Buck,79.44134116838404
director_Chris Butler,0.07545432325257247
director_Chris Carter,0.03269258359187887
director_Chris Columbus,15.2128356605203
director_Chris Eyre,0.26536663624685186
director_Chris Gorak,0.042477051474200105
director_Chris Kentis,0.260762440834876
director_Chris Koch,0.22834408177963858
director_Chris McKay,1.242059879849983
director_Chris Menges,0.2860685173547469
director_Chris Miller,19.312618653781755
director_Chris Nahon,0.04289387416959791
director_Chris Noonan,0.09762165130486478
director_Chris Renaud,17.24075144082251
director_Chris Roberts,0.23944791951796882
director_Chris Robinson,0.1919466820711833
director_Chris Rock,0.2863225066465264
director_Chris Sanders,0.001768097237219649
director_Chris Sivertson,0.24952340123707434
director_Chris Stokes,0.07902452664482346
director_Chris Wedge,2.2832629587258717
director_Chris Weitz,3.5310086051303227
director_Christian Alvart,0.3541726898726649
director_Christian Ditter,0.002367645590399063
director_Christian Duguay,0.36653380303093946
director_Christian E. Christiansen,0.11219366489393653
director_Christian Gudegast,0.014714003708281586
director_Christian Rivers,0.010683560268557367
director_Christine Jeffs,0.21402284611482109
director_Christophe Gans,0.01756341566242555
director_Christopher Cain,0.9128084780036233
director_Christopher Coppola,0.303662057501089
director_Christopher Crowe,0.5043668690311377
director_Christopher Erskin,0.14737483912866559
director_Christopher Guest,1.316167929113506
director_Christopher Landon,0.10176744421722016
director_Christopher Leitch,0.2591143997983117
director_Christopher McQuarrie,11.946582759352161
director_Christopher Miller,3.7966412029933947
director_Christopher Monger,0.2429782122260605
director_Christopher Nolan,42.2394057386999
director_Chuck Konzelman,0.19108873640153376
director_Chuck Russell,0.29392976549605426
director_Chuck Sheetz,0.09844947739701083
director_Ciarán Foy,0.07097859051042345
director_Claire McCarthy,0.3023468270444953
director_Clare Kilner,0.29961176641382714
director_Clark Gregg,0.2807829993032249
director_Clark Johnson,0.09140797670985645
director_Clay Kaytis,1.7693590520003175
director_Clint Eastwood,0.00525695150812445
director_Clive Barker,0.48424302502772637
director_Clive Donner,0.22360405875266623
director_Clive Smith,0.3035913874488433
director_Cody Cameron,0.8345645307246223
director_Colin Brady,0.21379102733065586
director_Colin Higgins,0.015956469899445474
director_Colin Strause,0.001202214068014177
director_Colin Trevorrow,17.894846054476883
director_Corey Yuen,0.26088694010950964
director_Corin Hardy,1.9621789872162836
director_Cory Edwards,0.0013116602086530595
director_Cory Finley,0.2853007303424804
director_Costa-Gavras,0.39588470289651245
director_Courtney Hunt,0.27249753097880547
director_Courtney Solomon,0.5218028826000731
director_Craig Brewer,0.4259138380560628
