name,genre,score,director,actor_2_name,actor_1_name,gross,budget
Bridge of Spies,Drama,7.6,Steven Spielberg,Mark Rylance,Tom Hanks,165478348.0,40000000.0
Straight Outta Compton,Biography,7.8,F. Gary Gray,Neil Brown Jr.,Aldis Hodge,201634991.0,28000000.0
The Boy Next Door,Thriller,4.7,Rob Cohen,Hill Harper,Ryan Guzman,52425855.0,4000000.0
Southpaw,Action,7.4,Antoine Fuqua,50 Cent,Jake Gyllenhaal,91970827.0,30000000.0
The Last Witch Hunter,Action,6.0,Breck Eisner,Joseph Gilgun,Vin Diesel,146936910.0,90000000.0
Green Room,Horror,7.0,Jeremy Saulnier,Mark Webber,Alia Shawkat,3769214.0,5000000.0
Burnt,Comedy,6.6,John Wells,Omar Sy,Bradley Cooper,36606743.0,20000000.0
Get Hard,Comedy,6.0,Etan Cohen,Alison Brie,Will Ferrell,111711453.0,40000000.0
Steve Jobs,Biography,7.2,Danny Boyle,Michael Fassbender,Kate Winslet,34441873.0,30000000.0
Joy,Biography,6.6,David O. Russell,Robert De Niro,Jennifer Lawrence,101134059.0,60000000.0
Brooklyn,Drama,7.5,John Crowley,Fiona Glascott,Julie Walters,62402155.0,11000000.0
Self/less,Action,6.5,Tarsem Singh,Derek Luke,Ryan Reynolds,31807156.0,26000000.0
Ted 2,Comedy,6.3,Seth MacFarlane,Morgan Freeman,Liam Neeson,215863606.0,68000000.0
Pan,Adventure,5.7,Joe Wright,Cara Delevingne,Hugh Jackman,128388320.0,150000000.0
Pixels,Action,5.5,Chris Columbus,Adam Sandler,Peter Dinklage,244874809.0,88000000.0
Daddy's Home,Comedy,6.2,Sean Anders,Linda Cardellini,Will Ferrell,242786137.0,50000000.0
Run All Night,Action,6.6,Jaume Collet-Serra,Common,Liam Neeson,71561644.0,50000000.0
Magic Mike XXL,Comedy,5.6,Gregory Jacobs,Channing Tatum,Matt Bomer,117813057.0,14800000.0
The DUFF,Comedy,6.5,Ari Sandel,Romany Malco,Bella Thorne,43709744.0,8500000.0
Hotel Transylvania 2,Animation,6.7,Genndy Tartakovsky,Adam Sandler,Steve Buscemi,474800000.0,80000000.0
The Longest Ride,Drama,7.1,George Tillman Jr.,Melissa Benoist,Tiago Riani,62944815.0,34000000.0
Victor Frankenstein,Drama,6.0,Paul McGuigan,Spencer Wilding,Daniel Radcliffe,34227298.0,40000000.0
Insidious: Chapter 3,Horror,6.1,Leigh Whannell,Hayley Kiyoko,Lin Shaye,112983889.0,10000000.0
Goosebumps,Adventure,6.3,Rob Letterman,Dylan Minnette,Odeya Rush,158261424.0,58000000.0
Aloha,Comedy,5.4,Cameron Crowe,Bradley Cooper,Emma Stone,26250020.0,37000000.0
Baahubali: The Beginning,Action,8.0,S.S. Rajamouli,Anushka Shetty,Tamannaah Bhatia,24548038.0,18026148.0
Secret in Their Eyes,Crime,6.3,Billy Ray,Michael Kelly,Julia Roberts,34854990.0,19500000.0
Wild Card,Action,5.6,Simon West,Michael Angarano,Jason Statham,6738764.0,30000000.0
Paper Towns,Adventure,6.2,Jake Schreier,Cara Delevingne,Nat Wolff,85512300.0,12000000.0
The SpongeBob Movie: Sponge Out of Water,Animation,6.0,Paul Tibbitt,Billy West,Tim Conway,325186032.0,74000000.0
Child 44,Crime,6.5,Daniel Espinosa,Fares Fares,Tom Hardy,12951093.0,50000000.0
The Wave,Action,6.7,Roar Uthaug,Elyas M'Barek,Max Riemelt,12975143.0,5000000.0
Concussion,Biography,7.1,Peter Landesman,Eddie Marsan,Will Smith,48623572.0,35000000.0
The Diary of a Teenage Girl,Comedy,6.9,Marielle Heller,David Fine,Alexander Skarsgård,1775133.0,2000000.0
The Walk,Action,7.3,Robert Zemeckis,Soleyman Pierini,Joseph Gordon-Levitt,61181942.0,35000000.0
Sinister 2,Horror,5.3,Ciarán Foy,James Ransone,Laila Haley,53329150.0,10000000.0
Anomalisa,Animation,7.3,Duke Johnson,Tom Noonan,Jennifer Jason Leigh,5659286.0,8000000.0
Woman in Gold,Biography,7.3,Simon Curtis,Frances Fisher,Ryan Reynolds,61619773.0,11000000.0
Eddie the Eagle,Biography,7.4,Dexter Fletcher,Taron Egerton,Hugh Jackman,46152800.0,23000000.0
The Second Best Exotic Marigold Hotel,Comedy,6.6,John Madden,Celia Imrie,Tina Desai,85978292.0,10000000.0
We Are Your Friends,Drama,6.2,Max Joseph,Emily Ratajkowski,Vanessa Lengies,11122090.0,2000000.0
By the Sea,Drama,5.3,Angelina Jolie,Angelina Jolie Pitt,Brad Pitt,3334927.0,10000000.0
Mortdecai,Action,5.5,David Koepp,Olivia Munn,Johnny Depp,47275717.0,60000000.0
Maggie,Drama,5.6,Henry Hobson,J.D. Evermore,Joely Richardson,1663165.0,8500000.0
Project Almanac,Drama,6.4,Dean Israelite,Jonny Weston,Gary Weeks,33213241.0,12000000.0
The Transporter Refueled,Action,5.2,Camille Delamarre,Noémie Lenoir,Ed Skrein,72629670.0,25000000.0
Dope,Adventure,7.2,Rick Famuyiwa,Rick Fox,Kimberly Elise,17986781.0,7000000.0
Krampus,Comedy,6.2,Michael Dougherty,Conchata Ferrell,Adam Scott,61548707.0,15000000.0
The Gunman,Action,5.8,Pierre Morel,Mark Rylance,Ray Winstone,24177137.0,40000000.0
90 Minutes in Heaven,Drama,4.8,Michael Polish,Bobby Batson,Hayden Christensen,4842699.0,5000000.0
Ip Man 3,Action,7.1,Wilson Yip,Lynn Hung,Mike Tyson,157029618.0,36000000.0
"McFarland, USA",Biography,7.4,Niki Caro,Valente Rodriguez,Morgan Saylor,45710059.0,17000000.0
The Peanuts Movie,Animation,7.1,Steve Martino,Venus Schultheis,Francesca Capaldi,246233113.0,99000000.0
Alvin and the Chipmunks: The Road Chip,Animation,5.0,Walt Becker,Joshua Mikel,Bella Thorne,234798636.0,90000000.0
The Lazarus Effect,Horror,5.2,David Gelb,Mark Duplass,Olivia Wilde,38356892.0,3300000.0
Love the Coopers,Comedy,5.8,Jessie Nelson,Alex Borstein,Olivia Wilde,42426912.0,17000000.0
The 33,Biography,6.9,Patricia Riggen,James Brolin,Marco Treviño,27972023.0,26000000.0
The Little Prince,Animation,7.7,Mark Osborne,James Franco,Jeff Bridges,97571250.0,81200000.0
The Gallows,Horror,4.3,Travis Cluff,Cassidy Gifford,Pfeifer Brown,42964410.0,100000.0
Captive,Action,5.4,Jerry Jameson,Leonor Varela,David Oyelowo,2801508.0,2000000.0
Our Brand Is Crisis,Comedy,6.1,David Gordon Green,Zoe Kazan,Dominic Flores,8527658.0,28000000.0
Unfinished Business,Comedy,5.4,Ken Scott,June Diane Raphael,Tom Wilkinson,14431253.0,35000000.0
Hot Tub Time Machine 2,Comedy,5.1,Steve Pink,Gillian Jacobs,Adam Scott,13081651.0,14000000.0
Danny Collins,Biography,7.0,Dan Fogelman,Jennifer Garner,Al Pacino,10835752.0,10000000.0
Paul Blart: Mall Cop 2,Action,4.4,Andy Fickman,Daniella Alonso,D.B. Woodside,107588225.0,30000000.0
Dragon Blade,Action,6.0,Daniel Lee,Peng Lin,Si Won Choi,122606884.0,65000000.0
Suicide Squad,Action,5.9,David Ayer,Robin Atkin Downes,Will Smith,746846894.0,175000000.0
Captain America: Civil War,Action,7.8,Anthony Russo,Scarlett Johansson,Robert Downey Jr.,1153337496.0,250000000.0
Warcraft,Action,6.8,Duncan Jones,Callum Rennie,Dominic Cooper,439048914.0,160000000.0
Deadpool,Action,8.0,Tim Miller,Ed Skrein,Ryan Reynolds,782836791.0,58000000.0
Me Before You,Drama,7.4,Thea Sharrock,Emilia Clarke,Sam Claflin,208314186.0,20000000.0
X-Men: Apocalypse,Action,6.9,Bryan Singer,Michael Fassbender,Jennifer Lawrence,543934105.0,178000000.0
Star Trek Beyond,Action,7.0,Justin Lin,Melissa Roxburgh,Sofia Boutella,343471816.0,185000000.0
The Conjuring 2,Horror,7.3,James Wan,Frances O'Connor,Javier Botet,321788219.0,40000000.0
The Huntsman: Winter's War,Action,6.1,Cedric Nicolas-Troyan,Sam Claflin,Chris Hemsworth,164989338.0,115000000.0
13 Hours,Action,7.3,Michael Bay,James Badge Dale,Toby Stephens,69411370.0,50000000.0
Batman v Superman: Dawn of Justice,Action,6.4,Zack Snyder,Lauren Cohan,Henry Cavill,873637528.0,250000000.0
Kung Fu Panda 3,Animation,7.1,Alessandro Carloni,Angelina Jolie Pitt,J.K. Simmons,521170825.0,145000000.0
Independence Day: Resurgence,Action,5.2,Roland Emmerich,Sela Ward,Vivica A. Fox,389681935.0,165000000.0
Criminal,Action,6.3,Ariel Vromen,Jordi Mollà,Gary Oldman,38803993.0,31500000.0
The Shallows,Action,6.3,Jaume Collet-Serra,Brett Cullen,Óscar Jaenada,119100758.0,17000000.0
Sausage Party,Animation,6.1,Greg Tiernan,Salma Hayek,James Franco,140705322.0,19000000.0
The Purge: Election Year,Action,6.0,James DeMonaco,Joseph Julian Soria,Frank Grillo,118587880.0,10000000.0
The Neon Demon,Horror,6.2,Nicolas Winding Refn,Bella Heathcote,Keanu Reeves,3377430.0,7000000.0
Jason Bourne,Action,6.6,Paul Greengrass,Riz Ahmed,Matt Damon,415484914.0,120000000.0
Central Intelligence,Action,6.3,Rawson Marshall Thurber,Thomas Kretschmann,Dwayne Johnson,216972543.0,50000000.0
The Legend of Tarzan,Action,6.2,David Yates,Alexander Skarsgård,Christoph Waltz,356700357.0,180000000.0
Gods of Egypt,Action,5.4,Alex Proyas,Elodie Yung,Gerard Butler,150680864.0,140000000.0
Now You See Me 2,Action,6.5,Jon M. Chu,Morgan Freeman,Daniel Radcliffe,334897606.0,90000000.0
10 Cloverfield Lane,Action,7.2,Dan Trachtenberg,John Gallagher Jr.,Bradley Cooper,110216998.0,15000000.0
Lights Out,Drama,6.3,David F. Sandberg,Amiah Miller,Billy Burke,148868835.0,4900000.0
How to Be Single,Comedy,6.1,Christian Ditter,Damon Wayans Jr.,Alison Brie,112343513.0,38000000.0
Triple 9,Action,6.3,John Hillcoat,Norman Reedus,Kate Winslet,23177948.0,20000000.0
Pride and Prejudice and Zombies,Action,5.8,Burr Steers,Bella Heathcote,Matt Smith,16457494.0,28000000.0
The Infiltrator,Biography,7.0,Brad Furman,Amy Ryan,Joseph Gilgun,21011110.0,25000000.0
London Has Fallen,Action,5.9,Babak Najafi,Radha Mitchell,Gerard Butler,205754447.0,60000000.0
Dirty Grandpa,Comedy,5.9,Dan Mazer,Zoey Deutch,Robert De Niro,94073028.0,11500000.0
"Hail, Caesar!",Comedy,6.3,Ethan Coen,Channing Tatum,Scarlett Johansson,63945241.0,22000000.0
The 5th Wave,Action,5.2,J Blakeson,Maggie Siff,Chloë Grace Moretz,109906372.0,38000000.0
Allegiant,Action,5.7,Robert Schwentke,Theo James,Naomi Watts,179246868.0,110000000.0
Bad Moms,Comedy,6.2,Jon Lucas,Jay Hernandez,Mila Kunis,183936074.0,20000000.0
The Boy,Horror,6.0,William Brent Bell,Rupert Evans,Lauren Cohan,73929392.0,10000000.0
Alice Through the Looking Glass,Adventure,6.2,James Bobin,Alan Rickman,Johnny Depp,299820798.0,170000000.0
The Secret Life of Pets,Animation,6.5,Chris Renaud,Eric Stonestreet,Steve Coogan,875458631.0,75000000.0
Teenage Mutant Ninja Turtles: Out of the Shadows,Action,6.0,Dave Green,Noel Fisher,Stephen Amell,245623848.0,135000000.0
The BFG,Adventure,6.4,Steven Spielberg,Penelope Wilton,Mark Rylance,195243411.0,140000000.0
Zoolander 2,Action,4.7,Ben Stiller,Will Ferrell,Milla Jovovich,56722693.0,50000000.0
Midnight Special,Drama,6.6,Jeff Nichols,Sam Shepard,Kirsten Dunst,6740647.0,18000000.0
The Angry Birds Movie,Animation,6.3,Clay Kaytis,Josh Gad,Peter Dinklage,352333929.0,73000000.0
Nerve,Action,6.5,Henry Joost,Marc John Jefferies,Samira Wiley,85251425.0,20000000.0
Miracles from Heaven,Biography,7.1,Patricia Riggen,Brighton Sharbino,Jennifer Garner,73983003.0,13000000.0
Neighbors 2: Sorority Rising,Comedy,5.7,Nicholas Stoller,Ike Barinholtz,Chloë Grace Moretz,108007109.0,35000000.0
Free State of Jones,Action,6.9,Gary Ross,Donald Watkins,Matthew McConaughey,25035950.0,50000000.0
Pete's Dragon,Action,6.7,David Lowery,Oona Laurence,Bryce Dallas Howard,143695338.0,65000000.0
Keanu,Action,6.3,Peter Atencio,Will Forte,Nia Long,20651333.0,15000000.0
Risen,Action,6.3,Kevin Reynolds,Jan Cornet,Peter Firth,46771565.0,20000000.0
Florence Foster Jenkins,Biography,6.8,Stephen Frears,Nina Arianda,Meryl Streep,49052787.0,29000000.0
The Forest,Horror,4.8,Jason Zada,Stephanie Vogt,Eoin Macken,39712000.0,10000000.0
Money Monster,Crime,6.5,Jodie Foster,Jack O'Connell,Julia Roberts,93282604.0,27000000.0
Fifty Shades of Black,Comedy,3.5,Michael Tiddes,Mike Epps,Fred Willard,22227514.0,5000000.0
My Big Fat Greek Wedding 2,Comedy,6.0,Kirk Jones,Louis Mandylor,Nia Vardalos,90632641.0,18000000.0
Mr. Church,Comedy,7.7,Bruce Beresford,Lucy Fry,Mckenna Grace,685780.0,8000000.0
Hands of Stone,Biography,6.6,Jonathan Jakubowicz,Jurnee Smollett-Bell,Robert De Niro,4978353.0,20000000.0
Ride Along 2,Action,5.9,Tim Story,Nadine Velazquez,Olivia Munn,124608438.0,40000000.0
The Circle,Drama,5.3,James Ponsoldt,Nargess Mamizadeh,Fereshteh Sadre Orafaiy,40656399.0,10000.0
The Square,Comedy,7.2,Ruben Östlund,Ahmed Hassan,Khalid Abdalla,9493791.0,1500000.0
After,Drama,5.3,Jenny Gage,Madison Lintz,Sandra Ellis Lafferty,69756455.0,650000.0
Gladiator,Action,8.5,Ridley Scott, Joaquin Phoenix,Russell Crowe,187000000,103000000.0
Avengers: Endgame,Action,8.4,"Directors:Anthony Russo, Joe Russo", Chris Evans,Robert Downey Jr.,$858.37M,400000000.0
Avengers: Infinity War,Action,8.4,"Directors:Anthony Russo, Joe Russo", Chris Hemsworth,Robert Downey Jr.,$678.82M,300000000.0
Top Gun: Maverick,Action,8.4,Joseph Kosinski, Jennifer Connelly,Tom Cruise,1500000000,170000000.0
Spider-Man: No Way Home,Action,8.3,Jon Watts, Zendaya,Tom Holland,$804000000,200000000.0
1917,Action,8.2,Sam Mendes, George MacKay,Dean-Charles Chapman,$159000000,100000000.0
Logan,Action,8.1,James Mangold, Patrick Stewart,Hugh Jackman,$226000000,127000000.0
How to Train Your Dragon,Animation,8.1,"Directors:Dean DeBlois, Chris Sanders", Gerard Butler,Jay Baruchel,$217000000,165000000.0
Blade Runner 2049,Action,8.0,Denis Villeneuve, Ryan Gosling,Harrison Ford,$92000000185000000.0
The Avengers,Action,8.0,Joss Whedon, Chris Evans,Robert Downey Jr.,$623000000,225000000.0
Casino Royale,Comedy,5.0,"Directors:Val Guest, Ken Hughes, John Huston, Joseph McGrath, Robert Parrish, Richard Talmadge", Peter Sellers,David Niven,41000000,6000000.0
Thor: Ragnarok,Action,7.9,Taika Waititi, Tom Hiddleston,Chris Hemsworth,$315000000,180000000.0
The Batman,Action,7.9,Matt Reeves, Zoë Kravitz,Robert Pattinson,772000000,200000000.0
Dunkirk,Action,7.8,Christopher Nolan, Barry Keoghan,Fionn Whitehead,$188000000150000000.0
Captain America: Civil War,Action,7.8,"Directors:Anthony Russo, Joe Russo", Robert Downey Jr.,Chris Evans,$408000000,250000000.0
Big Hero 6,Animation,7.8,"Directors:Don Hall, Chris Williams", Scott Adsit,Ryan Potter,$222000000,165000000.0
Captain America: The Winter Soldier,Action,7.8,"Directors:Anthony Russo, Joe Russo", Samuel L. Jackson,Chris Evans,$259000000,170000000.0
Ghostbusters,Action,6.9,Paul Feig, Kristen Wiig,Melissa McCarthy,$128000000,144000000.0
Deadpool 2,Action,7.7,David Leitch, Josh Brolin,Ryan Reynolds,$324000000,110000000.0
Kingsman: The Secret Service,Action,7.7,Matthew Vaughn, Taron Egerton,Colin Firth,$128000000,94000000.0
Incredibles 2,Animation,7.6,Brad Bird, Holly Hunter,Craig T. Nelson,$608000000,200000000.0
Kung Fu Panda,Animation,7.6,"Directors:Mark Osborne, John Stevenson", Ian McShane,Jack Black,$215.43M,130000000.0
RoboCop,Action,6.2,José Padilha, Gary Oldman,Joel Kinnaman,$58000000,120000000.0
Doctor Strange,Action,7.5,Scott Derrickson, Chiwetel Ejiofor,Benedict Cumberbatch,$232000000,165000000.0
Total Recall,Action,6.2,Len Wiseman, Bokeem Woodbine,Colin Farrell,$58000000,125000000.0
Shang-Chi and the Legend of the Ten Rings,Action,7.4,Destin Daniel Cretton, Awkwafina,Simu Liu,$224000000,150000000.0
The Last Duel,Action,7.4,Ridley Scott, Adam Driver,Matt Damon,30000000,100000000.0
War for the Planet of the Apes,Action,7.4,Matt Reeves, Woody Harrelson,Andy Serkis,$146000000,152000000.0
How to Train Your Dragon: The Hidden World,Animation,7.4,Dean DeBlois, America Ferrera,Jay Baruchel,$160000000,129000000.0
Spider-Man: Homecoming,Action,7.4,Jon Watts, Michael Keaton,Tom Holland,$334000000,175000000.0
Ready Player One,Action,7.4,Steven Spielberg, Olivia Cooke,Tye Sheridan,$137000000,150000000.0
Wonder Woman,Action,7.4,Patty Jenkins, Chris Pine,Gal Gadot,$412.000000,150000000.0
Master and Commander: The Far Side of the World,Action,7.4,Peter Weir, Paul Bettany,Russell Crowe,$93000000,135000000.0
Tenet,Action,7.3,Christopher Nolan, Robert Pattinson,John David Washington,$58000000,205000000.0
No Time to Die,Action,7.3,Cary Joji Fukunaga, Ana de Armas,Daniel Craig,$160.000000,250000000.0
Black Panther,Action,7.3,Ryan Coogler, Michael B. Jordan,Chadwick Boseman,$700000000,200000000.0
Alita: Battle Angel,Action,7.3,Robert Rodriguez, Christoph Waltz,Rosa Salazar,$85000000,170000000.0
The Suicide Squad,Action,7.2,James Gunn, Idris Elba,Margot Robbie,$55000000,185000000.0
The Matrix Reloaded,Action,7.2,"Directors:Lana Wachowski, Lilly Wachowski", Laurence Fishburne,Keanu Reeves,$281000000,150000000.0
Point Break,Action,5.3,Ericson Core, Luke Bracey,Edgar Ramírez,$28000000,100000000.0
Allied,Action,7.1,Robert Zemeckis, Marion Cotillard,Brad Pitt,$40000000,106000000.0
Kung Fu Panda 3,Animation,7.1,"Directors:Alessandro Carloni, Jennifer Yuh Nelson", Bryan Cranston,Jack Black,$143000000,140000000.0
Deepwater Horizon,Action,7.1,Peter Berg, Kurt Russell,Mark Wahlberg,$61000000,156000000.0
The Mummy,Action,7.1,Stephen Sommers, Rachel Weisz,Brendan Fraser,$155000000,80000000.0
The Mummy,Action,5.4,Alex Kurtzman, Sofia Boutella,Tom Cruise,$80000000,195000000.0
Doctor Strange in the Multiverse of Madness,Action,7.0,Sam Raimi, Elizabeth Olsen,Benedict Cumberbatch,950000000,200000000.0
Ant-Man and the Wasp,Action,7.0,Peyton Reed, Evangeline Lilly,Paul Rudd,$216000000,130000000.0
Outlaw King,Action,6.9,David Mackenzie, Stephen Dillane,Chris Pine,28000000,120000000.0
Solo: A Star Wars Story,Action,6.9,Ron Howard, Woody Harrelson,Alden Ehrenreich,$213.000000,275000000.0
Legend of the Guardians: The Owls of Ga'Hoole,Animation,6.9,Zack Snyder, Hugo Weaving,Jim Sturgess,$55000000,100000000.0
Captain America: The First Avenger,Action,6.9,Joe Johnston, Hugo Weaving,Chris Evans,$176000000,140000000.0
Clash of the Titans,Action,5.8,Louis Leterrier, Liam Neeson,Sam Worthington,$163000000,125000000.0
Spies in Disguise,Animation,6.8,"Directors:Nick Bruno, Troy Quane", Jarrett Bruno,Rachel Brosnahan,$66000000,100000000.0
Captain Marvel,Action,6.8,"Directors:Anna Boden, Ryan Fleck", Samuel L. Jackson,Brie Larson,$426000000,175000000.0
Aquaman,Action,6.8,James Wan, Amber Heard,Jason Momoa,$335000000,160000000.0
The Island,Action,6.8,Michael Bay, Ewan McGregor,Scarlett Johansson,$35000000,120000000.0
Jumanji: The Next Level,Action,6.7,Jake Kasdan, Jack Black,Dwayne Johnson,$316000000,125000000.0
Midway,Action,6.7,Roland Emmerich, Patrick Wilson,Ed Skrein,$56000000,100000000.0
Bumblebee,Action,6.7,Travis Knight, Jorge Lendeborg Jr.,Hailee Steinfeld,$127000000,102000000.0
Kingsman: The Golden Circle,Action,6.7,Matthew Vaughn, Colin Firth,Taron Egerton,$100000000,104000000.0
Black Widow,Action,6.7,Cate Shortland, Florence Pugh,Scarlett Johansson,$183000000,200000000.0
King Arthur: Legend of the Sword,Action,6.7,Guy Ritchie, Astrid Bergès-Frisbey,Charlie Hunnam,$39000000,175000000.0
The A-Team,Action,6.7,Joe Carnahan, Bradley Cooper,Liam Neeson,$77000000,110000000.0
The Matrix Revolutions,Action,6.7,"Directors:Lana Wachowski, Lilly Wachowski", Laurence Fishburne,Keanu Reeves,$139000000,150000000.0
Teenage Mutant Ninja Turtles,Action,5.8,Jonathan Liebesman, Will Arnett,Megan Fox,$191000000,125000000.0
The Fate of the Furious,Action,6.6,F. Gary Gray, Jason Statham,Vin Diesel,$226000000,250000000.0
Kong: Skull Island,Action,6.6,Jordan Vogt-Roberts, Samuel L. Jackson,Tom Hiddleston,$168.000000,185000000.0
Pirates of the Caribbean: On Stranger Tides,Action,6.6,Rob Marshall, Penélope Cruz,Johnny Depp,$241000000,379000000.0
Venom,Action,6.6,Ruben Fleischer, Michelle Williams,Tom Hardy,$213000000,116000000.0
Robin Hood,Action,5.3,Otto Bathurst, Jamie Foxx,Taron Egerton,$30000000,99000000.0
Robin Hood,Animation,7.5,"Directors:Wolfgang Reitherman, David Hand", Phil Harris,Brian Bedford,$32000000,5000000.0
Jungle Cruise,Action,6.6,Jaume Collet-Serra, Emily Blunt,Dwayne Johnson,$116000000,200000000.0
Flushed Away,Animation,6.6,"Directors:David Bowers, Sam Fell", Kate Winslet,Hugh Jackman,$64000000,149000000.0
X-Men: The Last Stand,Action,6.6,Brett Ratner, Hugh Jackman,Patrick Stewart,$234000000,210000000.0
The 13th Warrior,Action,6.6,"Directors:John McTiernan, Michael Crichton", Diane Venora,Antonio Banderas,$32000000,125000000.0
The Tomorrow War,Action,6.5,Chris McKay, Yvonne Strahovski,Chris Pratt,20000000,200000000.0
Fast & Furious Presents: Hobbs & Shaw,Action,6.5,David Leitch, Jason Statham,Dwayne Johnson,$173000000,200000000.0
Pokémon: Detective Pikachu,Action,6.5,Rob Letterman, Justice Smith,Ryan Reynolds,$144000000,150000000.0
Pirates of the Caribbean: Dead Men Tell No Tales,Action,6.5,"Directors:Joachim Rønning, Espen Sandberg", Geoffrey Rush,Johnny Depp,$172000000,230000000.0
The Gray Man,Action,6.5,"Directors:Anthony Russo, Joe Russo", Chris Evans,Ryan Gosling,450000,200000000.0
Valerian and the City of a Thousand Planets,Action,6.4,Luc Besson, Cara Delevingne,Dane DeHaan,$41000000,180000000.0
Triple Frontier,Action,6.4,J.C. Chandor, Oscar Isaac,Ben Affleck,520000000,115000000.0
The Taking of Pelham 123,Action,6.4,Tony Scott, John Travolta,Denzel Washington,$65000000,110000000.0
Thor: Love and Thunder,Action,6.4,Taika Waititi, Natalie Portman,Chris Hemsworth,760000000,250000000.0
Monsters vs. Aliens,Animation,6.4,"Directors:Rob Letterman, Conrad Vernon", Rainn Wilson,Reese Witherspoon,$198000000,175000000.0
Godzilla,Action,6.4,Gareth Edwards, Elizabeth Olsen,Aaron Taylor-Johnson,$200.000000,160000000.0
Godzilla,Action,5.4,Roland Emmerich, Jean Reno,Matthew Broderick,$136000000,125000000.0
Final Fantasy: The Spirits Within,Animation,6.4,"Directors:Hironobu Sakaguchi, Motonori Sakakibara", Steve Buscemi,Alec Baldwin,$32000000,137000000.0
Eternals,Action,6.3,Chloé Zhao, Richard Madden,Gemma Chan,$164000000,200000000.0
Red Notice,Action,6.3,Rawson Marshall Thurber, Ryan Reynolds,Dwayne Johnson,150000,150000000.0
Godzilla vs. Kong,Action,6.3,Adam Wingard, Millie Bobby Brown,Alexander Skarsgård,$100000000,155000000.0
Uncharted,Action,6.3,Ruben Fleischer, Mark Wahlberg,Tom Holland,400000000,120000000.0
Ghost in the Shell,Action,6.3,Rupert Sanders, Pilou Asbæk,Scarlett Johansson,$40000000,110000000.0
Terminator: Dark Fate,Action,6.2,Tim Miller, Arnold Schwarzenegger,Linda Hamilton,$62000000,185000000.0
6 Underground,Action,6.1,Michael Bay, Mélanie Laurent,Ryan Reynolds,830000000,150000000.0
Jurassic World: Fallen Kingdom,Action,6.1,J.A. Bayona, Bryce Dallas Howard,Chris Pratt,$417000000,170000000.0
Rampage,Action,6.1,Brad Peyton, Naomie Harris,Dwayne Johnson,$101000000,120000000.0
Mortal Engines,Action,6.1,Christian Rivers, Robert Sheehan,Hera Hilmar,$15000000,100000000.0
Justice League,Action,6.1,Zack Snyder, Gal Gadot,Ben Affleck,$229000000M,300000000.0
Godzilla: King of the Monsters,Action,6.0,Michael Dougherty, Vera Farmiga,Kyle Chandler,$110000000,170000000.0
Hercules,Action,6.0,Brett Ratner, John Hurt,Dwayne Johnson,$72000000,100000000.0
Hercules,Animation,7.3,"Directors:Ron Clements, John Musker", Susan Egan,Tate Donovan,$99000000,85000000.0
Lightyear,Animation,6.0,Angus MacLane, Keke Palmer,Chris Evans,226000000,200000000.0
Speed Racer,Action,6.0,"Directors:Lana Wachowski, Lilly Wachowski", Matthew Fox,Emile Hirsch,$43000000,120000000.0
Van Helsing,Action,6.0,Stephen Sommers, Kate Beckinsale,Hugh Jackman,$120000000,170000000.0
Sahara,Action,6.0,Breck Eisner, Penélope Cruz,Matthew McConaughey,$68000000,145000000.0
Power Rangers,Action,5.9,Dean Israelite, Naomi Scott,Dacre Montgomery,$85000000,120000000.0
The Great Wall,Action,5.9,Yimou Zhang, Tian Jing,Matt Damon,$45000000,150000000.0
Skyscraper,Action,5.8,Rawson Marshall Thurber, Neve Campbell,Dwayne Johnson,$68000000,125000000.0
Around the World in 80 Days,Adventure,6.7,"Directors:Michael Anderson, John Farrow", Cantinflas,David Niven,$42000000,6000000.0
Dark Phoenix,Action,5.7,Simon Kinberg, Michael Fassbender,James McAvoy,$65000000,200000000.0
Mulan,Action,5.7,Niki Caro, Donnie Yen,Liu Yifei,70000000,200000000.0
Mulan,Animation,7.6,"Directors:Tony Bancroft, Barry Cook", Eddie Murphy,Ming-Na Wen,$120000000,90000000.0
Ben-Hur,Action,5.7,Timur Bekmambetov, Toby Kebbell,Jack Huston,$26000000,95000000.0
Ben-Hur,Adventure,8.1,William Wyler, Jack Hawkins,Charlton Heston,$74000000,15000000.0
Chaos Walking,Action,5.7,Doug Liman, Daisy Ridley,Tom Holland,$13000000,100000000.0
The Matrix Resurrections,Action,5.7,Lana Wachowski, Carrie-Anne Moss,Keanu Reeves,160000000,190000000.0
Gemini Man,Action,5.7,Ang Lee, Mary Elizabeth Winstead,Will Smith,$48000000,140000000.0
The Meg,Action,5.6,Jon Turteltaub, Bingbing Li,Jason Statham,$143000000,178000000.0
Pacific Rim: Uprising,Action,5.6,Steven S. DeKnight, Scott Eastwood,John Boyega,$59000000,155000000.0
Men in Black: International,Action,5.6,F. Gary Gray, Tessa Thompson,Chris Hemsworth,$80000000,110000000.0
Wonder Woman 1984,Action,5.4,Patty Jenkins, Chris Pine,Gal Gadot,$46000000,200000000.0
Geostorm,Action,5.3,Dean Devlin, Jim Sturgess,Gerard Butler,$33000000,100000000.0
Jupiter Ascending,Action,5.3,"Directors:Lana Wachowski, Lilly Wachowski", Mila Kunis,Channing Tatum,$47000000,179000000.0
Transformers: The Last Knight,Action,5.2,Michael Bay, Anthony Hopkins,Mark Wahlberg,$130000000,217000000.0
