name,genre,score,director,budget_x,gross_x,actor_2_name,gross_y,actor_1_name,budget_y,gross,budget
A Cinderella Story,Comedy,5.9,Mark Rosman,19000000.0,70067909.0,Lin Shaye,51431160.0,Dan Byrd,20000000.0,70067909.0,20000000.0
Along Came Polly,Comedy,6.0,John Hamburg,42000000.0,178311729.0,Masi Oka,87856565.0,Philip Seymour Hoffman,42000000.0,178311729.0,42000000.0
The SpongeBob SquarePants Movie,Animation,7.1,Stephen Hillenburg,30000000.0,141067127.0,Bill Fagerbakke,85416609.0,Scarlett Johansson,30000000.0,141067127.0,30000000.0
Scooby-Doo 2: Monsters Unleashed,Adventure,5.1,Raja Gosnell,80000000.0,181216833.0,Linda Cardellini,84185387.0,Sarah Michelle Gellar,80000000.0,181216833.0,80000000.0
The Ladykillers,Comedy,6.2,Ethan Coen,35000000.0,76665191.0,Tom Hanks,39692139.0,J.K. Simmons,35000000.0,76665191.0,35000000.0
Hotel Rwanda,Biography,8.1,Terry George,17500000.0,33882243.0,Sophie Okonedo,23472900.0,Don Cheadle,17500000.0,33882243.0,17500000.0
Kung Fu Hustle,Action,7.7,Stephen Chow,20000000.0,104882445.0,Chi Ling Chiu,17104669.0,Shengyi Huang,20000000.0,104882445.0,20000000.0
Garden State,Comedy,7.4,Zach Braff,2500000.0,35825316.0,Michael Weston,26781723.0,Armando Riesco,2500000.0,35825316.0,2500000.0
The Princess Diaries 2: Royal Engagement,Comedy,5.8,Garry Marshall,40000000.0,134734481.0,Raven-Symoné,95149435.0,Anne Hathaway,40000000.0,134734481.0,40000000.0
Catwoman,Action,3.4,Pitof,100000000.0,82102379.0,Christopher Heyerdahl,40198710.0,Frances Conroy,100000000.0,82102379.0,100000000.0
Seed of Chucky,Comedy,4.8,Don Mancini,12000000.0,24829644.0,Billy Boyd,17016190.0,Jason Flemyng,12000000.0,24829644.0,12000000.0
2046,Drama,7.4,Kar-Wai Wong,12000000.0,20205757.0,Tony Chiu Wai Leung,261481.0,Li Gong,12000000.0,20205757.0,12000000.0
