name,genre,score,director,star,budget_x,gross_x,director_name,actor_2_name,gross_y,genres,actor_1_name,movie_title,budget_y,imdb_score
Graduation Day,Horror,4.9,Herb Freed,Christopher George,250000.0,,Herb Freed,Carmen Argenziano,,Horror|Mystery,Linnea Quigley,Graduation Day,250000.0,4.5
Modern Problems,Comedy,5.1,Ken Shapiro,Chevy Chase,8000000.0,26154211.0,Ken Shapiro,Dabney Coleman,,Comedy|Fantasy|Sci-Fi,Brian Doyle-Murray,Modern Problems,8000000.0,5.0
The Legend of the Lone Ranger,Action,5.1,William A. Fraker,Klinton Spilsbury,18000000.0,12617845.0,William A. Fraker,Richard Farnsworth,8000000.0,Action|Adventure|Western,Jason Robards,The Legend of the Lone Ranger,18000000.0,5.0
Sphinx,Adventure,5.2,Franklin J. Schaffner,Lesley-Anne Down,14000000.0,2022771.0,Franklin J. Schaffner,William Hootkins,800000.0,Adventure|Mystery|Thriller,Frank Langella,Sphinx,14000000.0,5.2
Heartbeeps,Comedy,4.3,Allan Arkush,Andy Kaufman,12000000.0,2154696.0,Allan Arkush,Randy Quaid,,Comedy|Sci-Fi,Bernadette Peters,Heartbeeps,10000000.0,4.2
Inchon,Drama,2.7,Terence Young,Laurence Olivier,46000000.0,5200986.0,Terence Young,Ben Gazzara,,Drama|History|War,Laurence Olivier,Inchon,48000000.0,2.7
The Pursuit of D.B. Cooper,Adventure,5.6,Roger Spottiswoode,Robert Duvall,12000000.0,3702028.0,Roger Spottiswoode,Treat Williams,,Adventure|Crime|Thriller,Robert Duvall,The Pursuit of D.B. Cooper,12000000.0,5.7
Scream,Horror,2.9,Byron Quisenberry,Pepper Martin,,,Wes Craven,W. Earl Brown,103001286.0,Horror|Mystery,David Arquette,Scream,15000000.0,7.2
Scream,Horror,7.3,Wes Craven,Neve Campbell,14000000.0,173046663.0,Wes Craven,W. Earl Brown,103001286.0,Horror|Mystery,David Arquette,Scream,15000000.0,7.2
Fast Times at Ridgemont High,Comedy,7.2,Amy Heckerling,Sean Penn,4500000.0,27092880.0,Amy Heckerling,Judge Reinhold,,Comedy|Drama,Jennifer Jason Leigh,Fast Times at Ridgemont High,4500000.0,7.2
Blade Runner,Action,8.1,Ridley Scott,Harrison Ford,28000000.0,41676878.0,Ridley Scott,Sean Young,27000000.0,Sci-Fi|Thriller,Harrison Ford,Blade Runner,28000000.0,8.2
The Thing,Horror,8.1,John Carpenter,Kurt Russell,15000000.0,19632053.0,John Carpenter,Richard Masur,13782838.0,Horror|Mystery|Sci-Fi,Wilford Brimley,The Thing,15000000.0,8.2
The Thing,Horror,6.2,Matthijs van Heijningen Jr.,Mary Elizabeth Winstead,38000000.0,31505287.0,John Carpenter,Richard Masur,13782838.0,Horror|Mystery|Sci-Fi,Wilford Brimley,The Thing,15000000.0,8.2
Conan the Barbarian,Action,6.9,John Milius,Arnold Schwarzenegger,20000000.0,68851475.0,John Milius,Mako,37567440.0,Adventure|Fantasy,William Smith,Conan the Barbarian,20000000.0,6.9
Conan the Barbarian,Action,6.9,John Milius,Arnold Schwarzenegger,20000000.0,68851475.0,John Milius,Mako,37567440.0,Adventure|Fantasy,William Smith,Conan the Barbarian,20000000.0,6.9
Conan the Barbarian,Action,5.2,Marcus Nispel,Jason Momoa,90000000.0,63523283.0,John Milius,Mako,37567440.0,Adventure|Fantasy,William Smith,Conan the Barbarian,20000000.0,6.9
Conan the Barbarian,Action,5.2,Marcus Nispel,Jason Momoa,90000000.0,63523283.0,John Milius,Mako,37567440.0,Adventure|Fantasy,William Smith,Conan the Barbarian,20000000.0,6.9
E.T. the Extra-Terrestrial,Family,7.8,Steven Spielberg,Henry Thomas,10500000.0,792910554.0,Steven Spielberg,Dee Wallace,434949459.0,Family|Sci-Fi,Henry Thomas,E.T. the Extra-Terrestrial,10500000.0,7.9
First Blood,Action,7.7,Ted Kotcheff,Sylvester Stallone,15000000.0,125212904.0,Ted Kotcheff,Brian Dennehy,,Action|Adventure|Drama,Sylvester Stallone,First Blood,14000000.0,7.7
First Blood,Action,7.7,Ted Kotcheff,Sylvester Stallone,15000000.0,125212904.0,Ted Kotcheff,Brian Dennehy,,Action|Adventure|Drama,Sylvester Stallone,First Blood,14000000.0,7.7
Annie,Comedy,6.6,John Huston,Aileen Quinn,50000000.0,57063861.0,Will Gluck,Dorian Missick,85911262.0,Comedy|Drama|Family|Musical,Quvenzhané Wallis,Annie,65000000.0,5.2
Annie,Comedy,5.3,Will Gluck,Quvenzhané Wallis,65000000.0,136853506.0,Will Gluck,Dorian Missick,85911262.0,Comedy|Drama|Family|Musical,Quvenzhané Wallis,Annie,65000000.0,5.2
Poltergeist,Horror,7.3,Tobe Hooper,JoBeth Williams,10700000.0,77142388.0,Tobe Hooper,Zelda Rubinstein,76600000.0,Fantasy|Horror,Heather O'Rourke,Poltergeist,10700000.0,7.4
Poltergeist,Horror,7.3,Tobe Hooper,JoBeth Williams,10700000.0,77142388.0,Tobe Hooper,Zelda Rubinstein,76600000.0,Fantasy|Horror,Heather O'Rourke,Poltergeist,10700000.0,7.4
Poltergeist,Horror,4.9,Gil Kenan,Sam Rockwell,35000000.0,95437994.0,Tobe Hooper,Zelda Rubinstein,76600000.0,Fantasy|Horror,Heather O'Rourke,Poltergeist,10700000.0,7.4
