Movie_Title,Director,Actors,Total_Gross,main_genre
Orphan: First Kill,William Brent Bell,"Isabelle Fuhrman, Julia Stiles, Rossif Sutherland, Hiro Kanagawa",Gross Unkown,Crime
Pathology,Marc Schölermann,"Alyssa Milano, Milo Ventimiglia, Keir O'Donnell, Michael Weston",$0.11M,Crime
Saw IV,Darren Lynn Bousman,"Tobin Bell, Scott Patterson, Louis Ferreira, Costas Mandylor",$63.30M,Crime
P2,Franck Khalfoun,"Rachel Nichols, Wes Bentley, Simon Reynolds, Philip Akin",$3.99M,Crime
Reno 911!: Miami,Robert Ben Garant,"Thomas Lennon, Robert Ben Garant, Kerri Kenney, Lennie Loftin",$20.34M,Comedy
Let's Go to Prison,Bob Odenkirk,"Dax Shepard, Will Arnett, Chi McBride, David Koechner",$4.61M,Comedy
The X Files: I Want to Believe,Chris Carter,"David Duchovny, Gillian Anderson, Billy Connolly, Amanda Peet",$20.98M,Crime
88 Minutes,Jon Avnet,"Al Pacino, Alicia Witt, Ben McKenzie, Leelee Sobieski",$16.93M,Crime
Analyze That,Harold Ramis,"Robert De Niro, Billy Crystal, Lisa Kudrow, Joe Viterelli",$32.12M,Comedy
Mickey Blue Eyes,"Directors:Kelly Makin, Carl Gottlieb","Hugh Grant, Jeanne Tripplehorn, James Caan, Burt Young",$33.86M,Comedy
The Last House on the Left,Wes Craven,"Sandra Peabody, Lucy Grantham, David Hess, Fred J. Lincoln",$3.10M,Crime
The Hangover Part III,Todd Phillips,"Bradley Cooper, Zach Galifianakis, Ed Helms, Justin Bartha",$112.20M,Comedy
Saving Silverman,Dennis Dugan,"Jason Biggs, Steve Zahn, Jack Black, Amanda Peet",$19.35M,Comedy
The Glass House,Daniel Sackheim,"Diane Lane, Leelee Sobieski, Stellan Skarsgård, Bruce Dern",$18.00M,Crime
The Woman in the Window,Joe Wright,"Amy Adams, Gary Oldman, Anthony Mackie, Fred Hechinger",Gross Unkown,Crime
Jigsaw,"Directors:Michael Spierig, Peter Spierig","Matt Passmore, Tobin Bell, Callum Keith Rennie, Hannah Emily Anderson",$38.05M,Crime
Identity Thief,Seth Gordon,"Jason Bateman, Melissa McCarthy, John Cho, Amanda Peet",$134.51M,Comedy
The Paperboy,Lee Daniels,"Matthew McConaughey, Nicole Kidman, John Cusack, Zac Efron",$0.69M,Crime
Observe and Report,Jody Hill,"Seth Rogen, Anna Faris, Ray Liotta, Michael Peña",$23.99M,Comedy
Suburbicon,George Clooney,"Matt Damon, Julianne Moore, Oscar Isaac, Noah Jupe",$5.78M,Comedy
Perfect Stranger,James Foley,"Halle Berry, Bruce Willis, Giovanni Ribisi, Richard Portnow",$23.98M,Crime
White Chicks,Keenen Ivory Wayans,"Marlon Wayans, Shawn Wayans, Busy Philipps, Maitland Ward",$70.83M,Comedy
Enough,Michael Apted,"Jennifer Lopez, Billy Campbell, Tessa Allen, Juliette Lewis",$40.01M,Crime
101 Dalmatians,Stephen Herek,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright",$136.19M,Adventure
The House,Andrew Jay Cohen,"Will Ferrell, Amy Poehler, Ryan Simpkins, Jason Mantzoukas",$25.48M,Comedy
Regression,Alejandro Amenábar,"Ethan Hawke, David Thewlis, Emma Watson, Dale Dickey",$0.05M,Adventure
Runner Runner,Brad Furman,"Ben Affleck, Justin Timberlake, Gemma Arterton, Anthony Mackie",$19.32M,Crime
Bad Santa 2,Mark Waters,"Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks",$17.78M,Comedy
The Hitcher,Dave Meyers,"Sean Bean, Sophia Bush, Zachary Knighton, Neal McDonough",$16.47M,Crime
The Black Dahlia,Brian De Palma,"Josh Hartnett, Aaron Eckhart, Scarlett Johansson, Hilary Swank",$22.52M,Crime
The Pink Panther,Shawn Levy,"Steve Martin, Kevin Kline, Jean Reno, Emily Mortimer",$82.23M,Adventure
Be Cool,F. Gary Gray,"John Travolta, Uma Thurman, Dwayne Johnson, Vince Vaughn",$56.05M,Comedy
The Perfect Score,Brian Robbins,"Scarlett Johansson, Erika Christensen, Chris Evans, Leonardo Nam",$10.39M,Comedy
Domestic Disturbance,Harold Becker,"John Travolta, Nick Loren, Matt O'Leary, Ruben Santiago-Hudson",$45.25M,Crime
House on Haunted Hill,William Malone,"Geoffrey Rush, Famke Janssen, Taye Diggs, Peter Gallagher",$40.85M,Crime
Jawbreaker,Darren Stein,"Rose McGowan, Rebecca Gayheart, Julie Benz, Alexandra Adi",$3.07M,Comedy
Saw 3D,Kevin Greutert,"Tobin Bell, Costas Mandylor, Betsy Russell, Cary Elwes",$45.71M,Crime
The Stepfather,Nelson McCormick,"Penn Badgley, Dylan Walsh, Sela Ward, Amber Heard",$29.06M,Crime
The Counselor,Ridley Scott,"Michael Fassbender, Penélope Cruz, Cameron Diaz, Javier Bardem",$16.97M,Crime
The Hustle,Chris Addison,"Anne Hathaway, Rebel Wilson, Alex Sharp, Tim Blake Nelson",$35.42M,Comedy
The Whole Ten Yards,Howard Deutch,"Bruce Willis, Matthew Perry, Natasha Henstridge, Amanda Peet",$16.32M,Comedy
Spring Breakers,Harmony Korine,"Vanessa Hudgens, Selena Gomez, Ashley Benson, Rachel Korine",$14.12M,Crime
Trespass,Joel Schumacher,"Nicolas Cage, Nicole Kidman, Cam Gigandet, Ben Mendelsohn",$0.02M,Crime
The Resident,Antti J. Jokinen,"Hilary Swank, Jeffrey Dean Morgan, Lee Pace, Christopher Lee",Gross Unkown,Crime
Balls of Fury,Robert Ben Garant,"Dan Fogler, Christopher Walken, George Lopez, Maggie Q",$32.84M,Comedy
The Watcher,Joe Charbanic,"James Spader, Keanu Reeves, Marisa Tomei, Ernie Hudson",$28.93M,Crime
D-Tox,Jim Gillespie,"Sylvester Stallone, Charles S. Dutton, Polly Walker, Kris Kristofferson",$0.08M,Crime
A Nightmare on Elm Street,Samuel Bayer,"Jackie Earle Haley, Rooney Mara, Kyle Gallner, Katie Cassidy",$63.08M,Crime
Paul Blart: Mall Cop,Steve Carr,"Kevin James, Keir O'Donnell, Jayma Mays, Raini Rodriguez",$20.82M,Action
Bachchhan Paandey,Farhad Samji,"Akshay Kumar, Jacqueline Fernandez, Kriti Sanon, Pankaj Tripathi",Gross Unkown,Action
Spiral: From the Book of Saw,Darren Lynn Bousman,"Chris Rock, Samuel L. Jackson, Max Minghella, Marisol Nichols",Gross Unkown,Crime
Big Momma's House,Raja Gosnell,"Martin Lawrence, Nia Long, Paul Giamatti, Jascha Washington",$117.56M,Action
Hot Pursuit,Anne Fletcher,"Reese Witherspoon, Sofía Vergara, Matthew Del Negro, Michael Mosley",$34.51M,Action
The Snowman,Tomas Alfredson,"Michael Fassbender, Rebecca Ferguson, Charlotte Gainsbourg, Jonas Karlsson",$6.67M,Crime
Alex Cross,Rob Cohen,"Tyler Perry, Matthew Fox, Rachel Nichols, Edward Burns",$25.89M,Action
Cosmopolis,David Cronenberg,"Robert Pattinson, Juliette Binoche, Sarah Gadon, Mathieu Amalric",$0.74M,Crime
Miss Congeniality 2: Armed & Fabulous,John Pasquin,"Sandra Bullock, Regina King, William Shatner, Enrique Murciano",$48.48M,Action
Agent Cody Banks,Harald Zwart,"Frankie Muniz, Hilary Duff, Andrew Francis, Angie Harmon",$47.94M,Action
Get Carter,Stephen Kay,"Sylvester Stallone, Rachael Leigh Cook, Miranda Richardson, Rhona Mitra",$14.97M,Action
Happy New Year,Farah Khan,"Shah Rukh Khan, Deepika Padukone, Abhishek Bachchan, Boman Irani",Gross Unkown,Action
Charlie's Angels: Full Throttle,McG,"Drew Barrymore, Lucy Liu, Cameron Diaz, Bernie Mac",$100.83M,Action
