Movie_Title,Director,Actors,Total_Gross,main_genre
Wonder Woman 1984,Patty Jenkins,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal",$46.37M,Action
Infinite,Antoine Fuqua,"Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Dylan O'Brien",Gross Unkown,Action
"Game Over, Man!",Kyle Newacheck,"Adam Devine, Anders Holm, Blake Anderson, Chloe Bridges",Gross Unkown,Action
Blackhat,Michael Mann,"Chris Hemsworth, Viola Davis, Tang Wei, Leehom Wang",$7.10M,Action
Gods of Egypt,Alex Proyas,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman",$31.15M,Action
The Mummy,Alex Kurtzman,"Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe",$80.10M,Action
Big Game,Jalmari Helander,"Samuel L. Jackson, Onni Tommila, Ray Stevenson, Victor Garber",$0.02M,Action
Vampire Academy,Mark Waters,"Zoey Deutch, Lucy Fry, Danila Kozlovskiy, Gabriel Byrne",$7.79M,Action
Drive Angry,Patrick Lussier,"Nicolas Cage, Amber Heard, William Fichtner, Billy Burke",$10.71M,Action
Killing Season,Mark Steven Johnson,"Robert De Niro, John Travolta, Milo Ventimiglia, Liz Olin",$0.03M,Action
The Happytime Murders,Brian Henson,"Melissa McCarthy, Elizabeth Banks, Maya Rudolph, Leslie David Baker",$20.71M,Action
The Spy Next Door,Brian Levant,"Jackie Chan, Amber Valletta, Billy Ray Cyrus, Madeline Carroll",$24.27M,Action
The Man with the Iron Fists,RZA,"Russell Crowe, Cung Le, Lucy Liu, RZA",$15.63M,Action
Killers,Robert Luketic,"Katherine Heigl, Ashton Kutcher, Tom Selleck, Catherine O'Hara",$47.06M,Action
Outside the Wire,Mikael Håfström,"Anthony Mackie, Damson Idris, Enzo Cilenti, Emily Beecham",Gross Unkown,Action
The Forever Purge,Everardo Gout,"Ana de la Reguera, Tenoch Huerta, Josh Lucas, Leven Rambin",$44.54M,Action
Season of the Witch,Dominic Sena,"Nicolas Cage, Ron Perlman, Claire Foy, Stephen Campbell Moore",$24.83M,Action
The Last Legion,Doug Lefler,"Colin Firth, Ben Kingsley, Aishwarya Rai Bachchan, Peter Mullan",$5.93M,Action
Pathfinder,Marcus Nispel,"Karl Urban, Clancy Brown, Moon Bloodgood, Russell Means",$10.23M,Action
Æon Flux,Karyn Kusama,"Charlize Theron, Frances McDormand, Sophie Okonedo, Marton Csokas",$25.86M,Action
I Spy,Betty Thomas,"Eddie Murphy, Owen Wilson, Famke Janssen, Malcolm McDowell",$33.56M,Action
The Tuxedo,Kevin Donovan,"Jackie Chan, Jennifer Love Hewitt, Jason Isaacs, Debi Mazar",$50.55M,Action
Bulletproof Monk,Paul Hunter,"Chow Yun-Fat, Seann William Scott, Jaime King, Karel Roden",$23.02M,Action
Godzilla,Roland Emmerich,"Matthew Broderick, Jean Reno, Maria Pitillo, Hank Azaria",$136.31M,Action
D3: The Mighty Ducks,Robert Lieberman,"Emilio Estevez, Jeffrey Nordling, David Selby, Heidi Kling",$22.94M,Action
Batman Forever,Joel Schumacher,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",$184.03M,Action
Maximum Overdrive,Stephen King,"Emilio Estevez, Pat Hingle, Laura Harrington, Yeardley Smith",$7.43M,Action
Battle for the Planet of the Apes,J. Lee Thompson,"Roddy McDowall, Claude Akins, Natalie Trundy, Severn Darden",$8.84M,Action
The New Mutants,Josh Boone,"Maisie Williams, Anya Taylor-Joy, Charlie Heaton, Alice Braga",Gross Unkown,Action
Robin Hood,Otto Bathurst,"Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson",$30.82M,Action
The Predator,Shane Black,"Boyd Holbrook, Trevante Rhodes, Jacob Tremblay, Keegan-Michael Key",$51.02M,Action
Kick,Sajid Nadiadwala,"Salman Khan, Jacqueline Fernandez, Nawazuddin Siddiqui, Randeep Hooda",$2.46M,Action
Point Break,Ericson Core,"Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer",$28.78M,Action
Geostorm,Dean Devlin,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara",$33.70M,Action
Resident Evil: Retribution,Paul W.S. Anderson,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer",$42.35M,Action
Dhoom:3,Vijay Krishna Acharya,"Aamir Khan, Katrina Kaif, Abhishek Bachchan, Uday Chopra",$8.03M,Action
Jupiter Ascending,"Directors:Lana Wachowski, Lilly Wachowski","Channing Tatum, Mila Kunis, Eddie Redmayne, Sean Bean",$47.39M,Action
One for the Money,Julie Anne Robinson,"Katherine Heigl, Jason O'Mara, Daniel Sunjata, John Leguizamo",$26.41M,Action
Red Dawn,Dan Bradley,"Chris Hemsworth, Isabel Lucas, Josh Hutcherson, Josh Peck",$44.81M,Action
The Colony,Jeff Renfroe,"Kevin Zegers, Laurence Fishburne, Bill Paxton, Charlotte Sullivan",Gross Unkown,Action
Bangkok Dangerous,"Directors:Danny Pang, Oxide Chun Pang","Nicolas Cage, Charlie Yeung, Shahkrit Yamnarm, Panward Hemmanee",$15.28M,Action
Max Payne,John Moore,"Mark Wahlberg, Mila Kunis, Beau Bridges, Ludacris",$40.69M,Action
Land of the Lost,Brad Silberling,"Will Ferrell, Danny McBride, Anna Friel, Jorma Taccone",$49.44M,Action
Hollywood Homicide,Ron Shelton,"Harrison Ford, Josh Hartnett, Isaiah Washington, Lena Olin",$30.01M,Action
Daredevil,Mark Steven Johnson,"Ben Affleck, Jennifer Garner, Colin Farrell, Michael Clarke Duncan",$102.54M,Action
Spy Hard,Rick Friedberg,"Leslie Nielsen, Nicollette Sheridan, Charles Durning, Marcia Gay Harden",$29.00M,Action
Tank Girl,Rachel Talalay,"Lori Petty, Ice-T, Naomi Watts, Don Harvey",$4.06M,Action
The Karate Kid Part III,John G. Avildsen,"Ralph Macchio, Pat Morita, Robyn Lively, Thomas Ian Griffith",$38.96M,Action
Masters of the Universe,Gary Goddard,"Dolph Lundgren, Frank Langella, Meg Foster, Billy Barty",$17.34M,Action
Resident Evil: Welcome to Raccoon City,Johannes Roberts,"Kaya Scodelario, Robbie Amell, Hannah John-Kamen, Tom Hopper",Gross Unkown,Action
Monster Hunter,Paul W.S. Anderson,"Milla Jovovich, Tony Jaa, Ron Perlman, T.I.",$15.16M,Action
The First Purge,Gerard McMurray,"Y'lan Noel, Lex Scott Davis, Joivan Wade, Steve Harris",$69.49M,Action
F9,Justin Lin,"Vin Diesel, Michelle Rodriguez, Jordana Brewster, Tyrese Gibson",$173.20M,Action
Morbius,Daniel Espinosa,"Jared Leto, Matt Smith, Adria Arjona, Jared Harris",Gross Unkown,Action
The Bad Batch,Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Jayda Fink, Keanu Reeves",$0.18M,Action
Transformers: The Last Knight,Michael Bay,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock",$130.17M,Action
The Transporter Refueled,Camille Delamarre,"Ed Skrein, Loan Chabanol, Ray Stevenson, Lenn Kudrjawizki",$16.03M,Action
The 5th Wave,J Blakeson,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders",$34.92M,Action
Hellboy,Neil Marshall,"David Harbour, Milla Jovovich, Ian McShane, Sasha Lane",$21.90M,Action
Independence Day: Resurgence,Roland Emmerich,"Liam Hemsworth, Jeff Goldblum, Bill Pullman, Maika Monroe",$103.14M,Action
A Good Day to Die Hard,John Moore,"Bruce Willis, Jai Courtney, Sebastian Koch, Mary Elizabeth Winstead",$67.35M,Action
Schindler's List,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall",$96.90M,Biography
Rocketry: The Nambi Effect,Madhavan,"Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra",Gross Unkown,Biography
Goodfellas,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",$46.84M,Biography
The Intouchables,"Directors:Olivier Nakache, Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",$13.18M,Biography
The Pianist,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox",$32.57M,Biography
Hamilton,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry",Gross Unkown,Biography
Sardar Udham,Shoojit Sircar,"Vicky Kaushal, Shaun Scott, Stephen Hogan, Amol Parashar",Gross Unkown,Biography
Braveheart,Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen",$75.60M,Biography
Amadeus,Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice",$51.97M,Biography
Ayla: The Daughter of War,Can Ulkay,"Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol",Gross Unkown,Biography
Lawrence of Arabia,David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins",$44.82M,Adventure
Green Book,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",$85.08M,Biography
Bhaag Milkha Bhaag,Rakeysh Omprakash Mehra,"Farhan Akhtar, Japtej Singh, Divya Dutta, Pawan Malhotra",$1.63M,Biography
The Wolf of Wall Street,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",$116.90M,Biography
Der Untergang,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane Köhler",$5.51M,Biography
A Beautiful Mind,Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",$170.74M,Biography
Raging Bull,Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent",$23.38M,Biography
The Elephant Man,David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud",Gross Unkown,Biography
Dersu Uzala,Akira Kurosawa,"Maksim Munzuk, Yuriy Solomin, Mikhail Bychkov, Vladimir Khrulyov",Gross Unkown,Adventure
La passion de Jeanne d'Arc,Carl Theodor Dreyer,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz",$0.02M,Biography
Hacksaw Ridge,Mel Gibson,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer",$67.21M,Biography
12 Years a Slave,Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt",$56.67M,Biography
Rush,Ron Howard,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara",$26.95M,Action
Spotlight,Tom McCarthy,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber",$45.06M,Biography
Hachi: A Dog's Tale,Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer",Gross Unkown,Biography
Into the Wild,Sean Penn,"Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden",$18.35M,Adventure
Hotel Rwanda,Terry George,"Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali",$23.53M,Biography
Catch Me If You Can,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen",$164.62M,Biography
In the Name of the Father,Jim Sheridan,"Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie, Philip King",$25.01M,Biography
Gandhi,Richard Attenborough,"Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth",$52.77M,Biography
The Message,Moustapha Akkad,"Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka",Gross Unkown,Biography
Andrei Rublev,Andrei Tarkovsky,"Anatoliy Solonitsyn, Ivan Lapikov, Nikolay Grinko, Nikolay Sergeev",$0.10M,Biography
The Sound of Music,Robert Wise,"Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn",$163.21M,Biography
Inherit the Wind,Stanley Kramer,"Spencer Tracy, Fredric March, Gene Kelly, Dick York",Gross Unkown,Biography
Lion,Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar",$51.74M,Biography
The Imitation Game,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech",$91.13M,Biography
The King's Speech,Tom Hooper,"Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi",$138.80M,Biography
Persepolis,"Directors:Vincent Paronnaud, Marjane Satrapi","Chiara Mastroianni, Catherine Deneuve, Gena Rowlands, Danielle Darrieux",$4.45M,Animation
The Pursuit of Happyness,Gabriele Muccino,"Will Smith, Thandiwe Newton, Jaden Smith, Brian Howe",$163.57M,Biography
Le scaphandre et le papillon,Julian Schnabel,"Mathieu Amalric, Emmanuelle Seigner, Marie-Josée Croze, Anne Consigny",$5.99M,Biography
Mar adentro,Alejandro Amenábar,"Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera",$2.09M,Biography
Cinderella Man,Ron Howard,"Russell Crowe, Renée Zellweger, Craig Bierko, Paul Giamatti",$61.65M,Biography
The Straight Story,David Lynch,"Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter",$6.20M,Biography
Dog Day Afternoon,Sidney Lumet,"Al Pacino, John Cazale, Penelope Allen, Sully Boyar",$50.00M,Biography
Zerkalo,Andrei Tarkovsky,"Margarita Terekhova, Filipp Yankovskiy, Ignat Daniltsev, Oleg Yankovskiy",$0.18M,Biography
Papillon,Franklin J. Schaffner,"Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon",$53.27M,Biography
Butch Cassidy and the Sundance Kid,George Roy Hill,"Paul Newman, Robert Redford, Katharine Ross, Strother Martin",$102.31M,Biography
Super 30,Vikas Bahl,"Hrithik Roshan, Mrunal Thakur, Nandish Singh Sandhu, Veerendra Saxena",$2.27M,Biography
Padman,R. Balki,"Akshay Kumar, Radhika Apte, Sonam Kapoor, Jyoti Subhash",$1.66M,Biography
Togo,Ericson Core,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer",Gross Unkown,Adventure
M.S. Dhoni: The Untold Story,Neeraj Pandey,"Sushant Singh Rajput, Kiara Advani, Anupam Kher, Disha Patani",$1.78M,Biography
Bohemian Rhapsody,Bryan Singer,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy",$216.43M,Biography
Dallas Buyers Club,Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn",$27.30M,Biography
My Left Foot: The Story of Christy Brown,Jim Sheridan,"Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan",$14.74M,Biography
Patton,Franklin J. Schaffner,"George C. Scott, Karl Malden, Stephen Young, Michael Strong",$61.70M,Biography
The Lion in Winter,Anthony Harvey,"Peter O'Toole, Katharine Hepburn, Anthony Hopkins, John Castle",$22.28M,Biography
In Cold Blood,Richard Brooks,"Robert Blake, Scott Wilson, John Forsythe, Paul Stewart",Gross Unkown,Biography
Spartacus,Stanley Kubrick,"Kirk Douglas, Laurence Olivier, Jean Simmons, Charles Laughton",$30.00M,Adventure
Hidden Figures,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner",$169.61M,Biography
Loving Vincent,"Directors:Dorota Kobiela, Hugh Welchman","Douglas Booth, Jerome Flynn, Robert Gulaczyk, Helen McCrory",$6.74M,Animation
Pride,Matthew Warchus,"Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine",Gross Unkown,Biography
The Big Short,Adam McKay,"Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt",$70.26M,Biography
Straight Outta Compton,F. Gary Gray,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr.",$161.20M,Biography
The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel",$7.00M,Biography
The Social Network,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Rooney Mara",$96.96M,Biography
Changeling,Clint Eastwood,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith",$35.74M,Biography
American Gangster,Ridley Scott,"Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin",$130.16M,Biography
The World's Fastest Indian,Roger Donaldson,"Anthony Hopkins, Diane Ladd, Iain Rea, Tessa Mitchell",$5.13M,Biography
Walk the Line,James Mangold,"Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick",$119.52M,Biography
Diarios de motocicleta,Walter Salles,"Gael García Bernal, Rodrigo de la Serna, Mía Maestro, Mercedes Morán",$16.76M,Adventure
Remember the Titans,Boaz Yakin,"Denzel Washington, Will Patton, Wood Harris, Ryan Hurst",$115.65M,Biography
The Insider,Michael Mann,"Russell Crowe, Al Pacino, Christopher Plummer, Diane Venora",$28.97M,Biography
October Sky,Joe Johnston,"Jake Gyllenhaal, Chris Cooper, Laura Dern, Chris Owen",$32.48M,Biography
Ed Wood,Tim Burton,"Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette",$5.89M,Biography
Tombstone,"Directors:George P. Cosmatos, Kevin Jarre","Kurt Russell, Val Kilmer, Sam Elliott, Bill Paxton",$56.51M,Biography
Awakenings,Penny Marshall,"Robert De Niro, Robin Williams, Julie Kavner, Ruth Nelson",$52.10M,Biography
Glory,Edward Zwick,"Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman",$26.83M,Biography
The Killing Fields,Roland Joffé,"Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands",$34.70M,Biography
The Right Stuff,Philip Kaufman,"Sam Shepard, Scott Glenn, Ed Harris, Dennis Quaid",$21.50M,Adventure
The Theory of Everything,James Marsh,"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",$35.89M,Biography
Kaze tachinu,Hayao Miyazaki,"Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Masahiko Nishimura",$5.21M,Animation
Argo,Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin",$136.03M,Biography
Frost/Nixon,Ron Howard,"Frank Langella, Michael Sheen, Kevin Bacon, Sam Rockwell",$18.59M,Biography
Ray,Taylor Hackford,"Jamie Foxx, Regina King, Kerry Washington, Clifton Powell",$75.33M,Biography
Finding Neverland,Marc Forster,"Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell",$51.68M,Biography
Donnie Brasco,Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby",$41.91M,Biography
Shine,Scott Hicks,"Geoffrey Rush, Armin Mueller-Stahl, Justin Braine, Sonia Todd",$35.81M,Biography
Il postino,"Directors:Michael Radford, Massimo Troisi","Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Renato Scarpa",$21.85M,Biography
Malcolm X,Spike Lee,"Denzel Washington, Angela Bassett, Delroy Lindo, Spike Lee",$48.17M,Biography
The Last Emperor,Bernardo Bertolucci,"John Lone, Joan Chen, Peter O'Toole, Ruocheng Ying",$43.98M,Biography
Serpico,Sidney Lumet,"Al Pacino, John Randolph, Jack Kehoe, Biff McGuire",$29.80M,Biography
A Man for All Seasons,Fred Zinnemann,"Paul Scofield, Wendy Hiller, Robert Shaw, Leo McKern",$28.35M,Biography
Dark Waters,Todd Haynes,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman",Gross Unkown,Biography
The Two Popes,Fernando Meirelles,"Jonathan Pryce, Anthony Hopkins, Juan Minujín, Luis Gnecco",Gross Unkown,Biography
The Boy Who Harnessed the Wind,Chiwetel Ejiofor,"Chiwetel Ejiofor, Maxwell Simba, Felix Lemburo, Robert Agengo",Gross Unkown,Biography
Sanju,Rajkumar Hirani,"Ranbir Kapoor, Paresh Rawal, Manisha Koirala, Vicky Kaushal",$7.91M,Biography
Just Mercy,Destin Daniel Cretton,"Michael B. Jordan, Jamie Foxx, Brie Larson, Charlie Pye Jr.",Gross Unkown,Biography
Philomena,Stephen Frears,"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham",$37.71M,Biography
127 Hours,Danny Boyle,"James Franco, Amber Tamblyn, Kate Mara, Sean Bott",$18.34M,Biography
Moneyball,Bennett Miller,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman",$75.61M,Biography
The Blind Side,John Lee Hancock,"Quinton Aaron, Sandra Bullock, Tim McGraw, Jae Head",$255.96M,Biography
Freedom Writers,Richard LaGravenese,"Hilary Swank, Imelda Staunton, Patrick Dempsey, Scott Glenn",$36.61M,Biography
The Last King of Scotland,Kevin Macdonald,"James McAvoy, Forest Whitaker, Gillian Anderson, Kerry Washington",$17.61M,Biography
La Vie en Rose,Olivier Dahan,"Marion Cotillard, Sylvie Testud, Pascal Greggory, Emmanuelle Seigner",$10.30M,Biography
Sophie Scholl - Die letzten Tage,Marc Rothemund,"Julia Jentsch, Fabian Hinrichs, Alexander Held, Johanna Gastdorf",$0.68M,Biography
Control,Anton Corbijn,"Sam Riley, Samantha Morton, Craig Parkinson, Alexandra Maria Lara",$0.87M,Biography
The Hurricane,Norman Jewison,"Denzel Washington, Vicellous Shannon, Deborah Kara Unger, Liev Schreiber",$50.67M,Biography
King Richard,Reinaldo Marcus Green,"Will Smith, Aunjanue Ellis, Jon Bernthal, Saniyya Sidney",Gross Unkown,Biography
"tick, tick...BOOM!",Lin-Manuel Miranda,"Andrew Garfield, Alexandra Shipp, Robin de Jesus, Vanessa Hudgens",Gross Unkown,Biography
83,Kabir Khan,"Ranveer Singh, Deepika Padukone, Tahir Raj Bhasin, Jiiva",Gross Unkown,Biography
BlacKkKlansman,Spike Lee,"John David Washington, Adam Driver, Laura Harrier, Topher Grace",$49.28M,Biography
"I, Tonya",Craig Gillespie,"Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson",$30.01M,Biography
The Favourite,Yorgos Lanthimos,"Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult",$34.37M,Biography
Richard Jewell,Clint Eastwood,"Paul Walter Hauser, Sam Rockwell, Brandon Stanley, Ryan Boz",Gross Unkown,Biography
Fruitvale Station,Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand",$16.10M,Biography
Saving Mr. Banks,John Lee Hancock,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell",$83.30M,Biography
The Greatest Showman,Michael Gracey,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya",$174.34M,Biography
En kongelig affære,Nikolaj Arcel,"Alicia Vikander, Mads Mikkelsen, Mikkel Boe Følsgaard, Trine Dyrholm",$1.55M,Biography
The Damned United,Tom Hooper,"Colm Meaney, Henry Goodman, David Roper, Jimmy Reddington",$0.45M,Biography
Selma,Ava DuVernay,"David Oyelowo, Carmen Ejogo, Oprah Winfrey, Tom Wilkinson",$52.08M,Biography
Milk,Gus Van Sant,"Sean Penn, Josh Brolin, Emile Hirsch, Diego Luna",$31.84M,Biography
Hunger,Steve McQueen,"Stuart Graham, Laine Megaw, Brian Milligan, Liam McMahon",$0.15M,Biography
42,Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford, Nicole Beharie",$95.00M,Biography
The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,"Brad Pitt, Casey Affleck, Sam Shepard, Mary-Louise Parker",$3.90M,Biography
The Great Debaters,Denzel Washington,"Denzel Washington, Forest Whitaker, Kimberly Elise, Nate Parker",$30.23M,Biography
The Aviator,Martin Scorsese,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly",$102.61M,Biography
Blow,Ted Demme,"Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths",$52.99M,Biography
Boys Don't Cry,Kimberly Peirce,"Hilary Swank, Chloë Sevigny, Peter Sarsgaard, Brendan Sexton III",$11.53M,Biography
Quiz Show,Robert Redford,"Ralph Fiennes, John Turturro, Rob Morrow, Paul Scofield",$24.82M,Biography
Rudy,David Anspaugh,"Sean Astin, Jon Favreau, Ned Beatty, Greta Lind",$22.75M,Biography
Chaplin,Richard Attenborough,"Robert Downey Jr., Geraldine Chaplin, Paul Rhys, John Thaw",$9.49M,Biography
Henry V,Kenneth Branagh,"Kenneth Branagh, Derek Jacobi, Simon Shepherd, James Larkin",$10.16M,Biography
Christiane F. - Wir Kinder vom Bahnhof Zoo,Uli Edel,"Natja Brunckhorst, Eberhard Auriga, Peggy Bussieck, Lothar Chamski",Gross Unkown,Biography
Midnight Express,Alan Parker,"Brad Davis, Irene Miracle, Bo Hopkins, Paolo Bonacelli",$35.00M,Biography
Judas and the Black Messiah,Shaka King,"LaKeith Stanfield, Daniel Kaluuya, Jesse Plemons, Dominique Fishback",Gross Unkown,Biography
The Mauritanian,Kevin Macdonald,"Tahar Rahim, Nouhe Hamady Bari, Saadna Hamoud, Mohamed Yeslem Mousse",Gross Unkown,Biography
Darkest Hour,Joe Wright,"Gary Oldman, Lily James, Kristin Scott Thomas, Ben Mendelsohn",$56.47M,Biography
Molly's Game,Aaron Sorkin,"Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera",$28.78M,Biography
Elvis,Baz Luhrmann,"Tom Hanks, Austin Butler, Olivia DeJonge, Helen Thomson",Gross Unkown,Biography
Sully,Clint Eastwood,"Tom Hanks, Aaron Eckhart, Laura Linney, Valerie Mahaffey",$125.07M,Biography
Trumbo,Jay Roach,"Bryan Cranston, Diane Lane, Helen Mirren, Louis C.K.",$7.86M,Biography
The Good Lie,Philippe Falardeau,"Reese Witherspoon, Arnold Oceng, Ger Duany, Emmanuel Jal",$2.72M,Biography
"McFarland, USA",Niki Caro,"Kevin Costner, Maria Bello, Ramiro Rodriguez, Carlos Pratts",$44.47M,Biography
Love & Mercy,Bill Pohlad,"John Cusack, Paul Dano, Elizabeth Banks, Paul Giamatti",$12.55M,Biography
"Good Night, and Good Luck.",George Clooney,"David Strathairn, George Clooney, Patricia Clarkson, Jeff Daniels",$31.50M,Biography
The Greatest Game Ever Played,Bill Paxton,"Shia LaBeouf, Stephen Dillane, Elias Koteas, James Paxton",$15.33M,Biography
Miracle,Gavin O'Connor,"Kurt Russell, Patricia Clarkson, Nathan West, Noah Emmerich",$64.38M,Biography
American Splendor,"Directors:Shari Springer Berman, Robert Pulcini","Paul Giamatti, Shari Springer Berman, Harvey Pekar, Chris Ambrose",$6.00M,Biography
Rabbit-Proof Fence,Phillip Noyce,"Everlyn Sampi, Tianna Sansbury, Kenneth Branagh, Laura Monaghan",$6.17M,Biography
Erin Brockovich,Steven Soderbergh,"Julia Roberts, Albert Finney, David Brisbin, Dawn Didawick",$125.60M,Biography
Elizabeth,Shekhar Kapur,"Cate Blanchett, Liz Giles, Rod Culbertson, Paul Fox",$30.08M,Biography
Man on the Moon,Milos Forman,"Jim Carrey, Danny DeVito, Gerry Becker, Greyson Erik Pendry",$34.58M,Biography
Gods and Monsters,Bill Condon,"Ian McKellen, Brendan Fraser, Lynn Redgrave, Lolita Davidovich",$6.39M,Biography
Searching for Bobby Fischer,Steven Zaillian,"Joe Mantegna, Ben Kingsley, Max Pomeranc, Joan Allen",$7.27M,Biography
The King and I,Walter Lang,"Yul Brynner, Deborah Kerr, Rita Moreno, Martin Benson",$21.30M,Biography
The King,David Michôd,"Tom Glynn-Carney, Gábor Czap, Tom Fisher, Edward Ashley",Gross Unkown,Biography
The Banker,George Nolfi,"Anthony Mackie, Samuel L. Jackson, Nicholas Hoult, Nia Long",Gross Unkown,Biography
Official Secrets,Gavin Hood,"Keira Knightley, Matt Smith, Matthew Goode, Rhys Ifans",$0.40M,Biography
