name,genre,score,director,star,budget,gross
Clash of the Titans,Action,6.9,Desmond Davis,Laurence Olivier,15000000.0,41092328.0
Excalibur,Adventure,7.4,John Boorman,Nigel Terry,11000000.0,34971136.0
Mad Max 2,Action,7.6,George Miller,Mel Gibson,3000000.0,23668369.0
Das Boot,Adventure,8.3,Wolfgang Petersen,Jürgen Prochnow,,11487676.0
Stripes,Comedy,6.9,Ivan Reitman,Bill Murray,10000000.0,85297000.0
Possession,Drama,7.4,Andrzej Zulawski,Isabelle Adjani,,1113538.0
The Cannonball Run,Action,6.2,Hal Needham,Burt Reynolds,18000000.0,72179579.0
Thief,Action,7.4,Michael Mann,James Caan,5500000.0,11492915.0
Endless Love,Drama,4.9,Franco Zeffirelli,Brooke Shields,,32492674.0
Time Bandits,Adventure,7.0,Terry Gilliam,Sean Connery,5000000.0,42368025.0
The Four Seasons,Comedy,6.8,Alan Alda,Alan Alda,,50427646.0
Friday the 13th Part 2,Horror,6.1,Steve Miner,Betsy Palmer,1250000.0,21722776.0
Scanners,Horror,6.8,David Cronenberg,Jennifer O'Neill,,14225876.0
For Your Eyes Only,Action,6.7,John Glen,Roger Moore,28000000.0,54813222.0
Halloween II,Horror,6.5,Rick Rosenthal,Jamie Lee Curtis,2500000.0,25533818.0
Taps,Drama,6.8,Harold Becker,George C. Scott,14000000.0,35856053.0
Reds,Biography,7.3,Warren Beatty,Warren Beatty,32000000.0,40382659.0
On Golden Pond,Drama,7.6,Mark Rydell,Katharine Hepburn,,119285432.0
The Fox and the Hound,Animation,7.3,Directors,Mickey Rooney,12000000.0,63456988.0
Chariots of Fire,Biography,7.2,Hugh Hudson,Ben Cross,5500000.0,59303359.0
Absence of Malice,Drama,6.9,Sydney Pollack,Paul Newman,12000000.0,40716963.0
Tarzan the Ape Man,Adventure,3.4,John Derek,Bo Derek,6500000.0,36565280.0
Victory,Drama,6.7,John Huston,Michael Caine,10000000.0,10853418.0
Arthur,Comedy,6.9,Steve Gordon,Dudley Moore,7000000.0,95461682.0
My Dinner with Andre,Biography,7.8,Louis Malle,Andre Gregory,,5073.0
Caveman,Comedy,5.8,Carl Gottlieb,Ringo Starr,,15965924.0
Dead & Buried,Horror,6.6,Gary Sherman,James Farentino,3000000.0,
History of the World: Part I,Comedy,6.9,Mel Brooks,Mel Brooks,11000000.0,31672907.0
The Howling,Horror,6.6,Joe Dante,Dee Wallace,1000000.0,17985893.0
Dragonslayer,Action,6.7,Matthew Robbins,Peter MacNicol,18000000.0,14110013.0
Cutter's Way,Crime,6.9,Ivan Passer,Jeff Bridges,3000000.0,1752634.0
Quest for Fire,Adventure,7.3,Jean-Jacques Annaud,Everett McGill,12500000.0,20962615.0
The Final Conflict,Horror,5.6,Graham Baker,Sam Neill,5000000.0,20471382.0
Mommie Dearest,Biography,6.7,Frank Perry,Faye Dunaway,5000000.0,19032261.0
Private Lessons,Comedy,5.2,Alan Myerson,Sylvia Kristel,2800000.0,26279000.0
The Postman Always Rings Twice,Crime,6.6,Bob Rafelson,Jack Nicholson,12000000.0,12376625.0
Ragtime,Drama,7.3,Milos Forman,James Cagney,,14920781.0
Deadly Blessing,Horror,5.6,Wes Craven,Maren Jensen,2500000.0,8279042.0
Eyewitness,Crime,6.0,Peter Yates,William Hurt,8500000.0,6400000.0
Gallipoli,Adventure,7.4,Peter Weir,Mel Gibson,,5732587.0
Outland,Action,6.6,Peter Hyams,Sean Connery,16000000.0,17374595.0
Southern Comfort,Action,7.2,Walter Hill,Keith Carradine,,
S.O.B.,Comedy,6.4,Blake Edwards,Julie Andrews,12000000.0,14867086.0
