name,genre,score,director,star,budget,gross
Chuck & Buck,Comedy,6.6,Miguel Arteta,Mike White,250000.0,1182065.0
Autumn in New York,Drama,5.6,Joan Chen,Richard Gere,65000000.0,90726668.0
Pollock,Biography,7.0,Ed Harris,Ed Harris,6000000.0,10994533.0
The Art of War,Action,5.7,Christian Duguay,Wesley Snipes,60000000.0,40400425.0
Before Night Falls,Biography,7.2,Julian Schnabel,Javier Bardem,,8601053.0
Left Behind: The Movie,Action,4.5,Vic Sarin,Kirk Cameron,4000000.0,4224065.0
Love & Sex,Comedy,6.2,Valerie Breiman,Famke Janssen,,580372.0
Psycho Beach Party,Comedy,6.2,Robert Lee King,Lauren Ambrose,1500000.0,268117.0
Bait,Action,5.8,Antoine Fuqua,Jamie Foxx,51000000.0,15471969.0
Saving Grace,Comedy,6.9,Nigel Cole,Brenda Blethyn,10000000.0,28741330.0
Hamlet,Drama,6.0,Michael Almereyda,Ethan Hawke,2000000.0,2046433.0
The Isle,Drama,7.0,Kim Ki-duk,Jung Suh,1000000.0,24963.0
Water Drops on Burning Rocks,Comedy,6.8,François Ozon,Bernard Giraudeau,,
Greenfingers,Comedy,6.8,Joel Hershman,Clive Owen,,1961054.0
Highlander: Endgame,Action,4.6,Douglas Aarniokoski,Christopher Lambert,25000000.0,15843608.0
Dr. T & the Women,Comedy,4.6,Robert Altman,Richard Gere,23000000.0,22844291.0
The Yards,Crime,6.4,James Gray,Mark Wahlberg,24000000.0,924036.0
Urban Legends: Final Cut,Horror,4.3,John Ottman,Jennifer Morrison,14000000.0,38574362.0
Woman on Top,Comedy,5.3,Fina Torres,Penélope Cruz,8000000.0,10194274.0
Ready to Rumble,Comedy,5.4,Brian Robbins,David Arquette,24000000.0,12452362.0
Vampire Hunter D: Bloodlust,Animation,7.7,Jack Fletcher,Andrew Philpot,,151086.0
Werckmeister Harmonies,Drama,8.2,Béla Tarr,Lars Rudolph,,25461.0
The Ladies Man,Comedy,5.2,Reginald Hudlin,Tim Meadows,24000000.0,13743212.0
The Contender,Drama,6.9,Rod Lurie,Joan Allen,20000000.0,22428990.0
Nine Queens,Crime,7.9,Fabián Bielinsky,Ricardo Darín,1500000.0,12413888.0
The Broken Hearts Club: A Romantic Comedy,Comedy,7.0,Greg Berlanti,Timothy Olyphant,1000000.0,2019121.0
The in Crowd,Drama,4.7,Mary Lambert,Lori Heuring,24000000.0,5280035.0
Girlfight,Drama,6.8,Karyn Kusama,Michelle Rodriguez,1000000.0,1666028.0
Beautiful Creatures,Comedy,5.8,Bill Eagles,Rachel Weisz,,313768.0
Gossip,Drama,5.9,Davis Guggenheim,James Marsden,24000000.0,12591270.0
Waking the Dead,Drama,6.5,Keith Gordon,Billy Crudup,8500000.0,270745.0
My Dog Skip,Comedy,7.0,Jay Russell,Frankie Muniz,6000000.0,35547761.0
Under the Sand,Drama,7.1,François Ozon,Charlotte Rampling,,6531687.0
O Fantasma,Drama,5.8,João Pedro Rodrigues,Ricardo Meneses,,126783.0
Hey Ram,Crime,7.9,Kamal Haasan,Kamal Haasan,,274675.0
Duets,Comedy,6.1,Bruce Paltrow,Huey Lewis,21000000.0,6620242.0
The Weight of Water,Crime,5.9,Kathryn Bigelow,Catherine McCormack,16000000.0,321279.0
Lucky Numbers,Comedy,5.0,Nora Ephron,John Travolta,63000000.0,10890222.0
Animal Factory,Crime,6.6,Steve Buscemi,Willem Dafoe,3600000.0,43805.0
Bless the Child,Crime,5.1,Chuck Russell,Kim Basinger,65000000.0,40443010.0
The Man Who Cried,Drama,6.2,Sally Potter,Christina Ricci,,1322763.0
State and Main,Comedy,6.8,David Mamet,Philip Seymour Hoffman,,9206279.0
Rugrats in Paris,Animation,6.2,Stig Bergqvist,Christine Cavanaugh,30000000.0,103291131.0
Code Unknown,Drama,7.2,Michael Haneke,Juliette Binoche,,95242.0
Maelstrom,Drama,6.9,Denis Villeneuve,Marie-Josée Croze,,254380.0
Gangster No. 1,Crime,6.7,Paul McGuigan,Malcolm McDowell,,30915.0
Taxi 2,Action,6.5,Gérard Krawczyk,Samy Naceri,,60726164.0
Small Time Crooks,Comedy,6.7,Woody Allen,Woody Allen,25000000.0,29934477.0
Songs from the Second Floor,Comedy,7.6,Roy Andersson,Lars Nordh,,80334.0
Bounce,Drama,5.7,Don Roos,Ben Affleck,35000000.0,53425292.0
Bread and Tulips,Comedy,7.3,Silvio Soldini,Licia Maglietta,,9719848.0
Brother,Crime,7.1,Takeshi Kitano,Takeshi Kitano,10000000.0,15250594.0
"Love, Honor and Obey",Comedy,6.5,Dominic Anciano,Sadie Frost,,1400.0
Nurse Betty,Comedy,6.2,Neil LaBute,Renée Zellweger,35000000.0,29364989.0
The House of Mirth,Romance,7.0,Terence Davies,Gillian Anderson,10000000.0,5164404.0
Beautiful,Comedy,5.6,Sally Field,Minnie Driver,14000000.0,3169930.0
Here on Earth,Drama,5.2,Mark Piznarski,Chris Klein,15000000.0,10873148.0
The Million Dollar Hotel,Drama,5.9,Wim Wenders,Jeremy Davies,8000000.0,105983.0
The Tigger Movie,Animation,6.4,Jun Falkenstein,Jim Cummings,30000000.0,96159800.0
What Planet Are You From?,Comedy,5.6,Mike Nichols,Garry Shandling,60000000.0,14145677.0
Sade,Biography,6.1,Benoît Jacquot,Daniel Auteuil,,100544.0
Committed,Comedy,5.1,Lisa Krueger,Heather Graham,3000000.0,40361.0
Tillsammans,Comedy,7.4,Lukas Moodysson,Lisa Lindgren,,14596148.0
Harrison's Flowers,Drama,7.1,Élie Chouraqui,Andie MacDowell,8000000.0,3033646.0
The Specials,Action,5.8,Craig Mazin,Rob Lowe,1000000.0,13276.0
Love's Labour's Lost,Romance,6.0,Kenneth Branagh,Alessandro Nivola,13000000.0,299792.0
Lost Souls,Drama,4.8,Janusz Kaminski,Winona Ryder,50000000.0,31355910.0
The Golden Bowl,Drama,5.9,James Ivory,Uma Thurman,15000000.0,5753678.0
Digimon: The Movie,Animation,6.1,Directors,Lara Jill Miller,5000000.0,16643191.0
Kaho Naa... Pyaar Hai,Action,6.9,Rakesh Roshan,Hrithik Roshan,,
Sordid Lives,Comedy,6.8,Del Shores,Delta Burke,,1111273.0
The Monkey's Mask,Crime,5.1,Samantha Lang,Susie Porter,,6831.0
Suzhou River,Drama,7.4,Ye Lou,Xun Zhou,,
The Next Best Thing,Comedy,4.7,John Schlesinger,Madonna,25000000.0,24362772.0
Ed Gein,Biography,5.5,Chuck Parello,Steve Railsback,,
Gun Shy,Comedy,5.7,Eric Blakeney,Liam Neeson,14000000.0,3284444.0
Big Eden,Comedy,7.3,Thomas Bezucha,Arye Gross,,512451.0
Harry Potter and the Sorcerer's Stone,Adventure,7.6,Chris Columbus,Daniel Radcliffe,125000000.0,1006968171.0
The Fast and the Furious,Action,6.8,Rob Cohen,Vin Diesel,38000000.0,207305509.0
The Lord of the Rings: The Fellowship of the Ring,Action,8.8,Peter Jackson,Elijah Wood,93000000.0,897690072.0
Legally Blonde,Comedy,6.3,Robert Luketic,Reese Witherspoon,18000000.0,141774679.0
Mulholland Dr.,Drama,7.9,David Lynch,Naomi Watts,15000000.0,20263646.0
"Monsters, Inc.",Animation,8.1,Pete Docter,Billy Crystal,115000000.0,579707738.0
Spirited Away,Animation,8.6,Hayao Miyazaki,Daveigh Chase,19000000.0,355475245.0
Donnie Darko,Drama,8.0,Richard Kelly,Jake Gyllenhaal,6000000.0,6981586.0
Not Another Teen Movie,Comedy,5.7,Joel Gallen,Chyler Leigh,15000000.0,66468985.0
Scary Movie 2,Comedy,5.3,Keenen Ivory Wayans,Anna Faris,45000000.0,141220678.0
Ocean's Eleven,Crime,7.7,Steven Soderbergh,George Clooney,85000000.0,450717150.0
Shrek,Animation,7.9,Andrew Adamson,Mike Myers,60000000.0,487853320.0
Black Hawk Down,Drama,7.7,Ridley Scott,Josh Hartnett,92000000.0,172989651.0
A Beautiful Mind,Biography,8.2,Ron Howard,Russell Crowe,58000000.0,316791257.0
The Mummy Returns,Action,6.4,Stephen Sommers,Brendan Fraser,98000000.0,443280904.0
Pearl Harbor,Action,6.2,Michael Bay,Ben Affleck,140000000.0,449220945.0
The Royal Tenenbaums,Comedy,7.6,Wes Anderson,Gene Hackman,21000000.0,71444482.0
Amélie,Comedy,8.3,Jean-Pierre Jeunet,Audrey Tautou,10000000.0,173997108.0
Training Day,Crime,7.7,Antoine Fuqua,Denzel Washington,45000000.0,104876233.0
A.I. Artificial Intelligence,Drama,7.2,Steven Spielberg,Haley Joel Osment,100000000.0,235926552.0
Ghost World,Comedy,7.3,Terry Zwigoff,Steve Buscemi,7000000.0,8764007.0
Super Troopers,Comedy,7.1,Jay Chandrasekhar,Jay Chandrasekhar,3000000.0,23182223.0
A Knight's Tale,Action,6.9,Brian Helgeland,Heath Ledger,65000000.0,117487473.0
Blow,Biography,7.6,Ted Demme,Johnny Depp,53000000.0,83282296.0
Hannibal,Crime,6.8,Ridley Scott,Anthony Hopkins,87000000.0,351692268.0
The Princess Diaries,Comedy,6.4,Garry Marshall,Julie Andrews,26000000.0,165335153.0
Moulin Rouge!,Drama,7.6,Baz Luhrmann,Nicole Kidman,50000000.0,184935320.0
Vanilla Sky,Fantasy,6.9,Cameron Crowe,Tom Cruise,68000000.0,203388341.0
Thir13en Ghosts,Fantasy,5.6,Steve Beck,Tony Shalhoub,42000000.0,68467960.0
Planet of the Apes,Action,5.7,Tim Burton,Mark Wahlberg,100000000.0,362211740.0
The Others,Horror,7.6,Alejandro Amenábar,Nicole Kidman,17000000.0,209947037.0
Joe Dirt,Adventure,6.0,Dennie Gordon,David Spade,17700000.0,30987695.0
Atlantis: The Lost Empire,Animation,6.9,Gary Trousdale,Michael J. Fox,120000000.0,186053725.0
Rat Race,Action,6.4,Jerry Zucker,Breckin Meyer,48000000.0,85498534.0
Summer Catch,Comedy,5.1,Michael Tollin,Freddie Prinze Jr.,34000000.0,19772447.0
Wet Hot American Summer,Comedy,6.6,David Wain,Janeane Garofalo,5000000.0,295206.0
Shallow Hal,Comedy,5.9,Bobby Farrelly,Jack Black,40000000.0,141069860.0
Zoolander,Comedy,6.5,Ben Stiller,Ben Stiller,28000000.0,60780981.0
Jurassic Park III,Action,5.9,Joe Johnston,Sam Neill,93000000.0,368780809.0
Enemy at the Gates,Drama,7.6,Jean-Jacques Annaud,Jude Law,68000000.0,96976270.0
Gosford Park,Comedy,7.2,Robert Altman,Maggie Smith,19800000.0,87754044.0
Swordfish,Action,6.5,Dominic Sena,John Travolta,102000000.0,147080413.0
Jeepers Creepers,Horror,6.2,Victor Salva,Gina Philips,10000000.0,59371303.0
Sex and Lucía,Drama,7.1,Julio Medem,Paz Vega,,7640680.0
Hardball,Drama,6.4,Brian Robbins,Keanu Reeves,32000000.0,44102389.0
Evolution,Comedy,6.1,Ivan Reitman,David Duchovny,80000000.0,98376292.0
Original Sin,Drama,6.1,Michael Cristofer,Antonio Banderas,42000000.0,35402320.0
Monster's Ball,Drama,7.0,Marc Forster,Billy Bob Thornton,4000000.0,45011434.0
Spy Kids,Action,5.5,Robert Rodriguez,Alexa PenaVega,35000000.0,147934180.0
Behind Enemy Lines,Action,6.4,John Moore,Gene Hackman,40000000.0,91753202.0
Intimacy,Drama,6.1,Patrice Chéreau,Mark Rylance,,2672527.0
Bully,Biography,6.9,Larry Clark,Brad Renfro,,704808.0
Bridget Jones's Diary,Comedy,6.7,Sharon Maguire,Renée Zellweger,25000000.0,281995610.0
I Am Sam,Drama,7.6,Jessie Nelson,Sean Penn,22000000.0,97818139.0
The Last Castle,Action,7.0,Rod Lurie,Robert Redford,72000000.0,27642707.0
The Piano Teacher,Drama,7.5,Michael Haneke,Isabelle Huppert,,6766381.0
Spy Game,Action,7.1,Tony Scott,Robert Redford,115000000.0,143049560.0
Lara Croft: Tomb Raider,Action,5.8,Simon West,Angelina Jolie,115000000.0,274703340.0
American Pie 2,Comedy,6.4,J.B. Rogers,Jason Biggs,30000000.0,287553595.0
Frailty,Crime,7.2,Bill Paxton,Bill Paxton,11000000.0,17423030.0
Along Came a Spider,Drama,6.4,Lee Tamahori,Morgan Freeman,60000000.0,105178561.0
Rush Hour 2,Action,6.6,Brett Ratner,Jackie Chan,90000000.0,347325802.0
Save the Last Dance,Drama,6.2,Thomas Carter,Julia Stiles,13000000.0,131706809.0
Domestic Disturbance,Crime,5.6,Harold Becker,John Travolta,75000000.0,54249294.0
Riding in Cars with Boys,Biography,6.5,Penny Marshall,Drew Barrymore,48000000.0,35743308.0
The Animal,Comedy,4.8,Luke Greenfield,Rob Schneider,47000000.0,85191134.0
How High,Comedy,6.3,Jesse Dylan,Method Man,20000000.0,31283740.0
Joy Ride,Action,6.6,John Dahl,Steve Zahn,23000000.0,36642838.0
3000 Miles to Graceland,Action,6.0,Demian Lichtenstein,Kurt Russell,62000000.0,18720175.0
The Score,Action,6.8,Frank Oz,Robert De Niro,68000000.0,114252154.0
Jason X,Action,4.4,James Isaac,Kane Hodder,11000000.0,17077882.0
Jay and Silent Bob Strike Back,Comedy,6.8,Kevin Smith,Jason Mewes,22000000.0,33788161.0
The Mexican,Adventure,6.1,Gore Verbinski,Brad Pitt,57000000.0,147845033.0
From Hell,Horror,6.8,Albert Hughes,Johnny Depp,35000000.0,74558115.0
Crocodile Dundee in Los Angeles,Action,4.8,Simon Wincer,Paul Hogan,21150000.0,39438674.0
Heist,Action,6.5,David Mamet,Gene Hackman,39000000.0,28510652.0
Serendipity,Comedy,6.9,Peter Chelsom,John Cusack,28000000.0,77516304.0
Brotherhood of the Wolf,Action,7.0,Christophe Gans,Samuel Le Bihan,29000000.0,70752904.0
The Pledge,Crime,6.8,Sean Penn,Jack Nicholson,35000000.0,29419291.0
American Outlaws,Action,6.0,Les Mayfield,Colin Farrell,35000000.0,13678913.0
Ghosts of Mars,Action,4.9,John Carpenter,Natasha Henstridge,28000000.0,14010832.0
The Man Who Wasn't There,Crime,7.5,Joel Coen,Billy Bob Thornton,20000000.0,18916623.0
Rock Star,Drama,6.3,Stephen Herek,Mark Wahlberg,57000000.0,19334145.0
Osmosis Jones,Animation,6.3,Bobby Farrelly,Laurence Fishburne,70000000.0,14026418.0
Fat Girl,Drama,6.5,Catherine Breillat,Anaïs Reboux,,765705.0
Saving Silverman,Comedy,5.9,Dennis Dugan,Jason Biggs,22000000.0,26086706.0
The Glass House,Crime,5.8,Daniel Sackheim,Diane Lane,30000000.0,23619609.0
The Wedding Planner,Comedy,5.3,Adam Shankman,Jennifer Lopez,35000000.0,94728529.0
Heartbreakers,Comedy,6.2,David Mirkin,Sigourney Weaver,35000000.0,57756408.0
Session 9,Horror,6.4,Brad Anderson,David Caruso,1500000.0,1612259.0
Out Cold,Comedy,6.3,Brendan Malloy,Flex Alexander,24000000.0,14782676.0
Hedwig and the Angry Inch,Comedy,7.7,John Cameron Mitchell,John Cameron Mitchell,6000000.0,3645107.0
Baby Boy,Crime,6.4,John Singleton,Alexsandra Wright,16000000.0,29381649.0
K-PAX,Drama,7.4,Iain Softley,Kevin Spacey,68000000.0,65001485.0
Freddy Got Fingered,Comedy,4.6,Tom Green,Tom Green,14000000.0,14343028.0
Pulse,Horror,6.6,Kiyoshi Kurosawa,Haruhiko Katô,,318451.0
Sweet November,Drama,6.7,Pat O'Connor,Keanu Reeves,40000000.0,65754228.0
Kate & Leopold,Comedy,6.4,James Mangold,Meg Ryan,48000000.0,76019048.0
Don't Say a Word,Drama,6.3,Gary Fleder,Michael Douglas,50000000.0,100020092.0
Ali,Biography,6.8,Michael Mann,Will Smith,107000000.0,87812729.0
Life as a House,Drama,7.5,Irwin Winkler,Hayden Christensen,27000000.0,23903791.0
Ichi the Killer,Action,7.0,Takashi Miike,Tadanobu Asano,1400000.0,80631.0
Tomcats,Comedy,5.4,Gregory Poirier,Shannon Elizabeth,11000000.0,23430766.0
Bandits,Comedy,6.5,Barry Levinson,Bruce Willis,75000000.0,67631903.0
Monkeybone,Animation,4.8,Henry Selick,Brendan Fraser,75000000.0,7622365.0
In the Bedroom,Crime,7.4,Todd Field,Tom Wilkinson,1700000.0,44763181.0
Pootie Tang,Action,5.3,Louis C.K.,Chris Rock,7000000.0,3313583.0
Waking Life,Animation,7.8,Richard Linklater,Ethan Hawke,,3176880.0
Bubble Boy,Adventure,5.6,Blair Hayes,Jake Gyllenhaal,13000000.0,5007898.0
Josie and the Pussycats,Comedy,5.5,Harry Elfont,Rachael Leigh Cook,39000000.0,14866015.0
The Devil's Backbone,Drama,7.4,Guillermo del Toro,Marisa Paredes,4500000.0,6582065.0
Shaolin Soccer,Action,7.3,Stephen Chow,Stephen Chow,10000000.0,42776760.0
Jimmy Neutron: Boy Genius,Animation,6.0,John A. Davis,Debi Derryberry,30000000.0,102992536.0
Driven,Action,4.6,Renny Harlin,Sylvester Stallone,94000000.0,54744738.0
Get Over It,Comedy,5.7,Tommy O'Haver,Kirsten Dunst,22000000.0,19900366.0
Cowboy Bebop: The Movie,Animation,7.9,Directors,Beau Billingslea,,3007903.0
An American Rhapsody,Drama,6.7,Éva Gárdos,Nastassja Kinski,,970676.0
Exit Wounds,Action,5.6,Andrzej Bartkowiak,Steven Seagal,50000000.0,79958599.0
Manic,Drama,7.2,Jordan Melamed,Joseph Gordon-Levitt,,69958.0
Lagaan: Once Upon a Time in India,Drama,8.1,Ashutosh Gowariker,Aamir Khan,,1724806.0
The Majestic,Drama,6.9,Frank Darabont,Jim Carrey,72000000.0,37317673.0
Valentine,Horror,4.8,Jamie Blanks,Denise Richards,29000000.0,36684136.0
Final Fantasy: The Spirits Within,Animation,6.4,Hironobu Sakaguchi,Alec Baldwin,137000000.0,85131830.0
The One,Action,5.9,James Wong,Jet Li,49000000.0,74005691.0
Lost and Delirious,Drama,6.9,Léa Pool,Piper Perabo,,396897.0
Sugar & Spice,Comedy,5.7,Francine McDougall,Marla Sokoloff,27000000.0,16923761.0
Cats & Dogs,Action,5.1,Lawrence Guterman,Alec Baldwin,60000000.0,200687492.0
Hearts in Atlantis,Drama,6.9,Scott Hicks,Anthony Hopkins,31000000.0,30919415.0
America's Sweethearts,Comedy,5.7,Joe Roth,Julia Roberts,46000000.0,138307673.0
Kiss of the Dragon,Action,6.6,Chris Nahon,Jet Li,25000000.0,64437847.0
Captain Corelli's Mandolin,Drama,5.9,John Madden,Nicolas Cage,57000000.0,62112895.0
The Believer,Drama,7.1,Henry Bean,Ryan Gosling,1500000.0,1309316.0
Dil Chahta Hai,Comedy,8.1,Farhan Akhtar,Aamir Khan,,316221.0
Someone Like You,Comedy,6.1,Tony Goldwyn,Ashley Judd,23000000.0,38689940.0
Mean Machine,Comedy,6.5,Barry Skolnick,Vinnie Jones,,7310206.0
Enigma,Drama,6.4,Michael Apted,Dougray Scott,,15713204.0
The Experiment,Drama,7.7,Oliver Hirschbiegel,Moritz Bleibtreu,,13782896.0
Millennium Actress,Animation,7.9,Satoshi Kon,Miyoko Shôji,,262891.0
The Tailor of Panama,Comedy,6.2,John Boorman,Pierce Brosnan,21000000.0,28008462.0
Formula 51,Action,6.3,Ronny Yu,Samuel L. Jackson,27000000.0,12881605.0
15 Minutes,Action,6.1,John Herzfeld,Robert De Niro,60000000.0,56359980.0
Iris,Biography,7.0,Richard Eyre,Judi Dench,5500000.0,16153953.0
Nowhere in Africa,Biography,7.5,Caroline Link,Juliane Köhler,,24322180.0
Crazy/Beautiful,Drama,6.4,John Stockwell,Kirsten Dunst,13000000.0,19937988.0
Angel Eyes,Drama,5.6,Luis Mandoki,Jennifer Lopez,53000000.0,29715606.0
No Man's Land,Comedy,7.9,Danis Tanovic,Branko Djuric,,4858869.0
Kabhi Khushi Kabhie Gham...,Drama,7.4,Karan Johar,Shah Rukh Khan,7500000.0,11334547.0
Buffalo Soldiers,Comedy,6.8,Gregor Jordan,Joaquin Phoenix,15000000.0,2300684.0
The Anniversary Party,Comedy,6.3,Alan Cumming,Alan Cumming,,4931888.0
Blow Dry,Comedy,6.3,Paddy Breathnach,Alan Rickman,,830286.0
The Musketeer,Action,4.8,Peter Hyams,Justin Chambers,40000000.0,32533802.0
O,Drama,6.1,Tim Blake Nelson,Mekhi Phifer,5000000.0,19260537.0
Birthday Girl,Comedy,6.1,Jez Butterworth,Nicole Kidman,13000000.0,16171098.0
Human Nature,Comedy,6.4,Michel Gondry,Tim Robbins,,1574660.0
Made,Comedy,6.4,Jon Favreau,Vince Vaughn,5000000.0,5480653.0
One Night at McCool's,Comedy,6.1,Harald Zwart,Liv Tyler,18000000.0,13578186.0
Dr. Dolittle 2,Comedy,4.7,Steve Carr,Eddie Murphy,70000000.0,176104344.0
Trouble Every Day,Drama,6.0,Claire Denis,Vincent Gallo,,15571.0
Max Keeble's Big Move,Comedy,5.4,Tim Hill,Alex D. Linz,25000000.0,18634654.0
The Center of the World,Drama,5.8,Wayne Wang,Shane Edelman,,1460687.0
Wasabi,Action,6.7,Gérard Krawczyk,Jean Reno,,10366360.0
Soul Survivors,Horror,3.9,Stephen Carpenter,Melissa Sagemiller,17000000.0,4299141.0
Black Knight,Adventure,4.9,Gil Junger,Martin Lawrence,50000000.0,39976235.0
The Shipping News,Drama,6.7,Lasse Hallström,Kevin Spacey,38000000.0,24690441.0
The Deep End,Crime,6.6,Scott McGehee,Tilda Swinton,3000000.0,10031529.0
The Son's Room,Drama,7.3,Nanni Moretti,Nanni Moretti,,11767402.0
Kissing Jessica Stein,Comedy,6.5,Charles Herman-Wurmfeld,Jennifer Westfeldt,1000000.0,10013424.0
Antitrust,Action,6.1,Peter Howitt,Ryan Phillippe,30000000.0,18195610.0
Just Visiting,Adventure,5.8,Jean-Marie Poiré,Jean Reno,35000000.0,16176732.0
Knockaround Guys,Crime,6.1,Brian Koppelman,Jennifer Baxter,,12806614.0
Monsoon Wedding,Comedy,7.4,Mira Nair,Naseeruddin Shah,,30787356.0
Lantana,Drama,7.3,Ray Lawrence,Anthony LaPaglia,,15747450.0
L.I.E.,Crime,7.1,Michael Cuesta,Brian Cox,700000.0,1846059.0
The Wash,Comedy,4.8,DJ Pooh,Dr. Dre,7000000.0,10229331.0
Bones,Crime,4.3,Ernest R. Dickerson,Snoop Dogg,16000000.0,8378853.0
Say It Isn't So,Comedy,5.0,J.B. Rogers,Chris Klein,25000000.0,12320393.0
Texas Rangers,Action,5.2,Steve Miner,James Van Der Beek,38000000.0,763740.0
What's the Worst That Could Happen?,Comedy,5.5,Sam Weisman,Martin Lawrence,60000000.0,38464131.0
Head Over Heels,Comedy,5.5,Mark Waters,Monica Potter,14000000.0,13127022.0
Glitter,Drama,2.3,Vondie Curtis-Hall,Mariah Carey,22000000.0,5271666.0
Down to Earth,Comedy,5.4,Chris Weitz,Chris Rock,49000000.0,71186502.0
Tape,Drama,7.2,Richard Linklater,Ethan Hawke,100000.0,515900.0
See Spot Run,Action,5.4,John Whitesell,David Arquette,35000000.0,43057552.0
Two Can Play That Game,Comedy,6.2,Mark Brown,Vivica A. Fox,13000000.0,22391450.0
Impostor,Drama,6.2,Gary Fleder,Shane Brolly,30000000.0,8694320.0
Storytelling,Comedy,6.8,Todd Solondz,Selma Blair,,1318945.0
Metropolis,Animation,7.2,Rintaro,Toshio Furukawa,15000000.0,4035192.0
"Scotland, Pa.",Comedy,6.7,Billy Morrissette,James Le Gros,,384098.0
Tortilla Soup,Comedy,6.7,Maria Ripoll,Hector Elizondo,,4634077.0
The Affair of the Necklace,Drama,6.1,Charles Shyer,Hilary Swank,30000000.0,1198113.0
Lovely & Amazing,Comedy,6.8,Nicole Holofcener,Catherine Keener,250000.0,4677852.0
La Ciénaga,Comedy,7.1,Lucrecia Martel,Mercedes Morán,,270811.0
Corky Romano,Comedy,4.7,Rob Pritts,Chris Kattan,11000000.0,25272752.0
Read My Lips,Crime,7.3,Jacques Audiard,Vincent Cassel,,5393526.0
Recess: School's Out,Animation,6.6,Chuck Sheetz,Andrew Lawrence,23000000.0,44460850.0
The Other Side of Heaven,Adventure,6.4,Mitch Davis,Christopher Gorham,7000000.0,4760014.0
The Grey Zone,Drama,7.0,Tim Blake Nelson,David Arquette,5000000.0,621592.0
Novocaine,Comedy,5.8,David Atkins,Steve Martin,8000000.0,2534372.0
Charlotte Gray,Drama,6.4,Gillian Armstrong,Cate Blanchett,20000000.0,5323109.0
The Curse of the Jade Scorpion,Comedy,6.7,Woody Allen,Greg Stebner,33000000.0,18914307.0
Spider-Man,Action,7.3,Sam Raimi,Tobey Maguire,139000000.0,825025036.0
The Sum of All Fears,Action,6.4,Phil Alden Robinson,Ben Affleck,68000000.0,193921372.0
8 Mile,Drama,7.1,Curtis Hanson,Eminem,41000000.0,242875078.0
The Pianist,Biography,8.5,Roman Polanski,Adrien Brody,35000000.0,120072577.0
Harry Potter and the Chamber of Secrets,Adventure,7.4,Chris Columbus,Daniel Radcliffe,100000000.0,879602366.0
The Lord of the Rings: The Two Towers,Action,8.7,Peter Jackson,Elijah Wood,94000000.0,947495095.0
Road to Perdition,Crime,7.7,Sam Mendes,Tom Hanks,80000000.0,181001478.0
Resident Evil,Action,6.7,Paul W.S. Anderson,Milla Jovovich,33000000.0,102984862.0
Catch Me If You Can,Biography,8.1,Steven Spielberg,Leonardo DiCaprio,52000000.0,352114312.0
28 Days Later...,Drama,7.6,Danny Boyle,Cillian Murphy,8000000.0,85720385.0
City of God,Crime,8.6,Fernando Meirelles,Alexandre Rodrigues,,30680793.0
Irreversible,Crime,7.4,Gaspar Noé,Monica Bellucci,,6479328.0
The Ring,Horror,7.1,Gore Verbinski,Naomi Watts,48000000.0,249348933.0
Signs,Drama,6.7,M. Night Shyamalan,Mel Gibson,72000000.0,408247917.0
The Bourne Identity,Action,7.9,Doug Liman,Franka Potente,60000000.0,214034224.0
Star Wars: Episode II - Attack of the Clones,Action,6.5,George Lucas,Hayden Christensen,115000000.0,653779970.0
Secretary,Comedy,7.0,Steven Shainberg,James Spader,4000000.0,9304609.0
Scooby-Doo,Adventure,5.1,Raja Gosnell,Matthew Lillard,84000000.0,275650703.0
Reign of Fire,Action,6.2,Rob Bowman,Matthew McConaughey,60000000.0,82150183.0
Minority Report,Action,7.6,Steven Spielberg,Tom Cruise,102000000.0,358372926.0
Austin Powers in Goldmember,Action,6.2,Jay Roach,Mike Myers,63000000.0,296938801.0
Red Dragon,Crime,7.2,Brett Ratner,Anthony Hopkins,78000000.0,209196298.0
Gangs of New York,Crime,7.5,Martin Scorsese,Leonardo DiCaprio,100000000.0,193772504.0
The Importance of Being Earnest,Comedy,6.8,Oliver Parker,Rupert Everett,15000000.0,18009625.0
Sweet Home Alabama,Comedy,6.2,Andy Tennant,Reese Witherspoon,30000000.0,180622424.0
The Count of Monte Cristo,Action,7.7,Kevin Reynolds,Jim Caviezel,35000000.0,75395048.0
The Hot Chick,Comedy,5.5,Tom Brady,Rob Schneider,,54639553.0
Adaptation.,Comedy,7.7,Spike Jonze,Nicolas Cage,19000000.0,32801173.0
Unfaithful,Drama,6.7,Adrian Lyne,Richard Gere,50000000.0,119137784.0
Ice Age,Animation,7.5,Chris Wedge,Denis Leary,59000000.0,383257136.0
Panic Room,Crime,6.8,David Fincher,Jodie Foster,48000000.0,197079546.0
Insomnia,Drama,7.2,Christopher Nolan,Al Pacino,46000000.0,113758770.0
Men in Black II,Action,6.2,Barry Sonnenfeld,Tommy Lee Jones,140000000.0,445135288.0
Lilo & Stitch,Animation,7.3,Dean DeBlois,Daveigh Chase,80000000.0,273144151.0
Chicago,Comedy,7.2,Rob Marshall,Renée Zellweger,45000000.0,306776732.0
A Walk to Remember,Drama,7.3,Adam Shankman,Mandy Moore,11800000.0,47494916.0
Treasure Planet,Animation,7.2,Ron Clements,Joseph Gordon-Levitt,140000000.0,110041363.0
My Big Fat Greek Wedding,Comedy,6.6,Joel Zwick,Nia Vardalos,5000000.0,368744044.0
