name,genre,score,director,actor_2_name,actor_1_name,gross,budget
The Thing,Horror,8.1,John Carpenter,Richard Masur,Wilford Brimley,19632053.0,15000000.0
Conan the Barbarian,Action,6.9,John Milius,Mako,William Smith,68851475.0,20000000.0
E.T. the Extra-Terrestrial,Family,7.8,Steven Spielberg,Dee Wallace,Henry Thomas,792910554.0,10500000.0
First Blood,Action,7.7,Ted Kotcheff,Brian Dennehy,Sylvester Stallone,125212904.0,14000000.0
Annie,Comedy,6.6,John Huston,Dorian Missick,Quvenzhané Wallis,57063861.0,65000000.0
Poltergeist,Horror,7.3,Tobe Hooper,Zelda Rubinstein,Heather O'Rourke,77142388.0,10700000.0
Star Trek II: The Wrath of Khan,Action,7.7,Nicholas Meyer,Kirstie Alley,Leonard Nimoy,78912963.0,11000000.0
Gandhi,Biography,8.0,Richard Attenborough,Amrish Puri,Candice Bergen,52767889.0,22000000.0
Tootsie,Comedy,7.4,Sydney Pollack,Sydney Pollack,Bill Murray,177200000.0,22000000.0
The Beastmaster,Action,6.2,Don Coscarelli,John Amos,Vanna Bonta,14056528.0,8000000.0
Creepshow,Comedy,6.9,George A. Romero,Hal Holbrook,Ted Danson,21028755.0,8000000.0
The Man from Snowy River,Adventure,7.3,George Miller,Jack Thompson,Tony Bonner,20659423.0,3500000.0
Cat People,Fantasy,6.2,Paul Schrader,Ruby Dee,Ed Begley Jr.,7000000.0,18000000.0
Friday the 13th Part III,Horror,5.7,Steve Miner,Dana Kimmell,Richard Brooker,36690067.0,4000000.0
Firefox,Action,6.0,Clint Eastwood,Warren Clarke,Clint Eastwood,46708276.0,21000000.0
Halloween III: Season of the Witch,Horror,5.0,Tommy Lee Wallace,Dan O'Herlihy,Tom Atkins,14400000.0,2500000.0
The Verdict,Drama,7.7,Sidney Lumet,James Mason,Charlotte Rampling,53993738.0,16000000.0
Diner,Comedy,7.1,Barry Levinson,Daniel Stern,Steve Guttenberg,14099953.0,5000000.0
The Best Little Whorehouse in Texas,Comedy,6.0,Colin Higgins,Barry Corbin,Dolly Parton,69701637.0,35000000.0
Megaforce,Action,3.7,Hal Needham,Michael Beck,Barry Bostwick,5675599.0,20000000.0
Jekyll and Hyde... Together Again,Sci-Fi,6.2,Jerry Belson,Tim Thomerson,Cassandra Peterson,3792188.0,5000000.0
Scarface,Crime,8.3,Brian De Palma,F. Murray Abraham,Al Pacino,65884703.0,25000000.0
The Outsiders,Crime,7.1,Francis Ford Coppola,William Smith,Tom Cruise,25697647.0,10000000.0
Star Wars: Episode VI - Return of the Jedi,Action,8.3,Richard Marquand,Ian McDiarmid,Harrison Ford,475106177.0,32500000.0
National Lampoon's Vacation,Adventure,7.4,Harold Ramis,Randy Quaid,Beverly D'Angelo,61399552.0,15000000.0
Superman III,Action,5.0,Richard Lester,Robert Vaughn,Margot Kidder,59950623.0,39000000.0
Flashdance,Drama,6.2,Adrian Lyne,Cynthia Rhodes,Michael Nouri,92921203.0,4000000.0
WarGames,Action,7.1,John Badham,Barry Corbin,Matthew Broderick,79567667.0,12000000.0
The Right Stuff,Adventure,7.8,Philip Kaufman,Scott Glenn,Dennis Quaid,21192315.0,27000000.0
Krull,Action,6.1,Peter Yates,Alun Armstrong,Liam Neeson,16916617.0,27000000.0
Octopussy,Action,6.5,John Glen,Kabir Bedi,Louis Jourdan,67893619.0,27500000.0
Videodrome,Horror,7.2,David Cronenberg,Leslie Carlson,Debbie Harry,2120439.0,5952000.0
Twilight Zone: The Movie,Horror,6.5,Directors,Al Leong,Albert Brooks,29450919.0,10000000.0
Never Say Never Again,Action,6.2,Irvin Kershner,Klaus Maria Brandauer,Bernie Casey,55432841.0,36000000.0
A Christmas Story,Comedy,7.9,Bob Clark,Darren McGavin,Zack Ward,20653717.0,4000000.0
Bad Boys,Crime,7.2,Rick Rosenthal,Tchéky Karyo,Will Smith,9190819.0,19000000.0
Yentl,Drama,6.6,Barbra Streisand,Amy Irving,Miriam Margolyes,40218899.0,12000000.0
Lone Wolf McQuade,Action,6.3,Steve Carver,William Sanderson,David Carradine,12232628.0,5000000.0
Losin' It,Comedy,4.9,Curtis Hanson,Shelley Long,Tom Cruise,1246141.0,7000000.0
Sahara,Adventure,5.0,Andrew V. McLaglen,Rainn Wilson,Matthew McConaughey,1402962.0,130000000.0
Hercules,Adventure,4.0,Luigi Cozzi,Rufus Sewell,Dwayne Johnson,10676194.0,100000000.0
The Wicked Lady,Adventure,4.7,Michael Winner,Marina Sirtis,Faye Dunaway,724912.0,8000000.0
